Motion Through Fluids Experiment Mon, Mar 09, 2020 4:01 PM
Time(sec)	Position(mm)
0.022	18.171
0.122	30.199
0.172	36.213
0.222	41.681
0.272	47.695
0.322	54.256
0.372	60.270
0.422	67.378
0.472	73.938
0.522	81.046
0.572	88.154
0.622	95.261
0.672	102.916
0.722	110.024
0.772	117.131
0.822	124.786
0.872	131.893
0.922	139.001
0.972	146.655
1.022	154.310
1.073	161.964
1.122	169.619
1.172	177.273
1.222	184.927
1.272	193.129
1.322	200.783
1.372	208.437
1.422	216.638
1.472	224.293
1.522	232.494
1.572	240.148
1.622	247.803
1.672	254.364
1.722	0.000
1.772	0.000
1.822	0.000
1.872	0.000
1.922	0.000
1.972	0.000
2.022	0.000
2.072	0.000
2.122	0.000
2.172	0.000
2.222	0.000
2.272	0.000
2.322	0.000
2.372	0.000
2.422	0.000
2.472	0.000
2.522	0.000
2.572	0.000
2.622	0.000
2.672	0.000
2.722	0.000
2.772	0.000
2.822	0.000
2.872	0.000
2.922	0.000
2.972	0.000
3.022	0.000
