Motion Through Fluids Experiment Mon, Mar 09, 2020 4:01 PM
Time(sec)	Position(mm)
0.048	61.910
0.098	67.924
0.150	73.938
0.198	79.953
0.248	86.514
0.298	93.074
0.348	99.635
0.398	105.650
0.448	112.210
0.498	118.225
0.548	124.786
0.598	131.893
0.649	138.454
0.698	145.562
0.748	152.670
0.798	160.324
0.848	167.978
0.898	175.086
0.948	182.194
0.998	189.301
1.048	196.409
1.098	203.517
1.148	210.624
1.198	217.732
1.249	224.840
1.298	231.947
1.348	239.055
1.398	245.616
1.448	253.270
1.498	0.000
1.548	0.000
1.598	0.000
1.648	0.000
1.698	0.000
1.748	0.000
1.798	0.000
1.848	0.000
1.898	0.000
1.948	0.000
1.998	0.000
2.048	0.000
2.099	0.000
2.148	0.000
2.198	0.000
2.248	0.000
2.298	0.000
2.348	0.000
2.398	0.000
2.448	0.000
2.498	0.000
2.548	0.000
2.598	0.000
2.648	0.000
2.698	0.000
2.748	0.000
2.799	0.000
2.848	0.000
2.898	0.000
2.948	0.000
2.998	0.000
