Motion Through Fluids Experiment Fri, Mar 13, 2020 9:37 AM
Time(sec)	Position(mm)
0.015	9.423
0.065	9.969
0.115	10.516
0.165	11.063
0.215	11.063
0.266	11.610
0.315	12.156
0.365	12.703
0.415	13.250
0.465	13.797
0.515	13.797
0.566	14.343
0.615	14.890
0.665	15.437
0.715	15.984
0.765	15.984
0.815	16.530
0.865	17.077
0.915	17.624
0.965	18.171
1.015	18.171
1.065	18.717
1.115	19.264
1.165	19.811
1.215	20.358
1.265	20.358
1.315	20.904
1.365	21.451
1.415	21.998
1.466	21.998
1.515	22.545
1.565	23.091
1.615	23.638
1.665	23.638
1.715	24.185
1.765	24.732
1.815	25.278
1.865	25.278
1.915	25.825
1.965	26.372
2.015	26.918
2.065	27.465
2.115	27.465
2.165	28.012
2.215	28.559
2.265	29.105
2.315	29.105
2.365	29.652
2.415	30.199
2.465	30.746
2.515	30.746
2.566	31.292
2.615	31.839
2.666	32.386
2.715	32.933
2.765	32.933
2.815	33.479
2.865	34.026
2.915	34.573
2.965	34.573
3.015	35.120
3.065	35.666
3.115	36.213
3.165	36.213
3.215	36.760
3.265	37.307
3.315	37.853
3.365	37.853
3.415	38.400
3.465	38.947
3.515	39.494
3.565	39.494
3.615	40.040
3.665	40.587
3.715	41.134
3.765	41.134
3.815	41.681
3.865	42.227
3.915	42.774
3.965	42.774
4.015	43.321
4.065	43.868
4.115	44.414
4.165	44.414
4.215	44.961
4.265	45.508
4.315	46.055
4.365	46.055
4.415	46.601
4.465	47.148
4.515	47.148
4.565	47.695
4.615	48.241
4.665	48.788
4.715	49.335
4.765	49.335
4.815	49.882
4.865	50.428
4.916	50.975
4.965	50.975
5.015	51.522
5.065	52.069
5.115	52.615
5.165	52.615
5.215	53.162
5.265	53.709
5.315	54.256
5.365	54.256
5.415	54.802
5.465	55.349
5.515	55.896
5.565	55.896
5.615	56.443
5.665	56.989
5.715	57.536
5.765	57.536
5.815	58.083
5.865	58.630
5.915	59.176
5.965	59.176
6.015	59.723
6.065	60.270
6.116	60.817
6.166	60.817
6.215	61.363
6.265	61.910
6.315	62.457
6.365	62.457
6.415	63.004
6.465	63.550
6.515	64.097
6.565	64.097
6.615	64.644
6.665	65.191
6.715	65.737
6.765	66.284
6.815	66.284
6.865	66.831
6.915	67.378
6.965	67.378
7.015	67.924
7.065	68.471
7.115	69.018
7.165	69.018
7.215	69.564
7.265	70.111
7.315	70.658
7.365	70.658
7.415	71.205
7.465	71.751
7.515	72.298
7.565	72.298
7.615	72.845
7.665	73.392
7.715	73.938
7.765	73.938
7.815	74.485
7.865	75.032
7.915	75.579
7.965	75.579
8.015	76.125
8.065	76.672
8.115	77.219
8.165	77.766
8.215	77.766
8.265	78.312
8.315	78.859
8.365	79.406
8.415	79.406
8.466	79.953
8.515	80.499
8.565	81.046
8.615	81.046
8.665	81.593
8.715	82.140
8.765	82.686
8.815	82.686
8.865	83.233
8.915	83.780
8.965	83.780
9.015	84.327
9.065	84.873
9.115	85.420
9.165	85.967
9.215	85.967
9.265	86.514
9.315	87.060
9.365	87.060
9.415	87.607
9.465	88.154
9.515	88.701
9.566	88.701
9.616	89.247
9.665	89.794
9.715	90.341
9.765	90.341
9.815	90.887
9.865	91.434
9.915	91.981
9.965	91.981
10.015	92.528
10.065	93.074
10.115	93.621
10.165	93.621
10.215	94.168
10.265	94.715
10.315	94.715
10.365	95.261
10.415	95.808
10.465	96.355
10.515	96.902
10.565	96.902
10.615	97.448
10.665	97.995
10.715	98.542
10.765	98.542
10.815	99.089
10.865	99.635
10.915	100.182
10.965	100.182
11.015	100.729
11.065	101.276
11.115	101.822
11.165	101.822
11.215	102.369
11.266	102.916
11.315	103.463
11.365	103.463
11.415	104.009
11.465	104.556
11.515	105.103
11.565	105.103
11.616	105.650
11.665	106.196
11.715	106.743
11.765	106.743
11.815	107.290
11.865	107.837
11.916	108.383
11.966	108.383
