Motion Through Fluids Experiment Mon, Mar 09, 2020 3:50 PM
Time(sec)	Position(mm)
0.005	24.732
0.055	29.652
0.105	34.573
0.155	39.494
0.205	43.868
0.255	48.788
0.305	54.256
0.355	59.176
0.405	64.097
0.456	69.564
0.505	75.032
0.556	79.953
0.605	85.420
0.655	90.341
0.705	95.808
0.755	101.276
0.805	106.196
0.855	111.664
0.905	117.131
0.955	122.052
1.005	127.519
1.055	132.440
1.105	137.907
1.155	143.375
1.206	148.296
1.255	153.763
1.305	159.230
1.355	164.151
1.405	169.619
1.455	175.086
1.505	180.553
1.555	186.021
1.605	191.488
1.655	196.409
1.705	201.876
1.755	207.344
1.805	212.811
1.856	218.279
1.905	222.653
1.955	228.120
2.006	234.681
2.055	239.055
2.105	244.522
2.155	249.990
2.205	254.911
2.255	0.000
2.305	0.000
2.355	0.000
2.405	0.000
2.455	0.000
2.505	0.000
2.555	0.000
2.605	0.000
2.655	0.000
2.705	0.000
2.755	0.000
2.805	0.000
2.855	0.000
2.905	0.000
2.955	0.000
3.005	0.000
3.055	0.000
3.105	0.000
3.155	0.000
3.205	0.000
3.255	0.000
3.305	0.000
3.355	0.000
3.405	0.000
3.455	0.000
3.505	0.000
3.555	0.000
3.605	0.000
3.655	0.000
3.705	0.000
3.755	0.000
3.805	0.000
3.855	0.000
3.905	0.000
3.955	0.000
