Motion Through Fluids Experiment Mon, Mar 09, 2020 3:52 PM
Time(sec)	Position(mm)
0.038	60.817
0.088	66.284
0.138	71.205
0.188	76.672
0.238	81.593
0.288	87.060
0.338	92.528
0.388	97.448
0.438	102.916
0.488	108.383
0.538	113.304
0.588	118.771
0.638	124.239
0.688	129.160
0.739	134.627
0.788	140.094
0.839	145.562
0.888	151.029
0.938	156.497
0.988	161.964
1.038	167.432
1.088	172.899
1.138	178.366
1.188	183.287
1.239	188.755
1.288	194.222
1.338	199.143
1.388	204.610
1.438	210.078
1.488	215.545
1.538	220.466
1.588	225.933
1.638	231.401
1.688	236.868
1.738	241.789
1.788	247.803
1.839	253.270
1.888	0.000
1.938	0.000
1.988	0.000
2.038	0.000
2.088	0.000
2.138	0.000
2.188	0.000
2.238	0.000
2.288	0.000
2.338	0.000
2.388	0.000
2.438	0.000
2.488	0.000
2.538	0.000
2.588	0.000
2.638	0.000
2.688	0.000
2.738	0.000
2.788	0.000
2.838	0.000
2.888	0.000
2.938	0.000
2.988	0.000
3.038	0.000
3.088	0.000
3.138	0.000
3.188	0.000
3.238	0.000
3.288	0.000
3.338	0.000
3.388	0.000
3.438	0.000
3.488	0.000
3.538	0.000
3.588	0.000
3.638	0.000
3.688	0.000
3.738	0.000
3.788	0.000
3.838	0.000
3.888	0.000
3.938	0.000
3.988	0.000
