Motion Through Fluids Experiment Fri, Mar 13, 2020 9:44 AM
Time(sec)	Position(mm)
0.011	30.199
0.111	33.479
0.161	35.120
0.211	36.760
0.261	37.853
0.311	39.494
0.361	41.134
0.412	42.774
0.461	43.868
0.511	45.508
0.561	47.148
0.611	48.788
0.661	50.428
0.712	52.069
0.761	53.162
0.811	54.802
0.861	56.443
0.911	58.083
0.961	59.176
1.011	60.817
1.061	62.457
1.111	64.097
1.161	65.191
1.211	66.831
1.261	68.471
1.311	69.564
1.361	71.205
1.412	72.845
1.461	74.485
1.511	76.125
1.561	77.766
1.611	78.859
1.661	80.499
1.712	82.140
1.761	83.780
1.811	85.420
1.861	86.514
1.911	88.154
1.961	89.794
2.011	91.434
2.062	92.528
2.111	94.168
2.161	95.808
2.211	97.448
2.261	98.542
2.311	100.182
2.361	101.822
2.411	103.463
2.461	104.556
2.511	106.196
2.561	107.837
2.611	109.477
2.662	111.117
2.711	112.210
2.761	113.851
2.811	115.491
2.861	117.131
2.911	118.771
2.961	119.865
3.011	121.505
3.061	123.145
3.111	124.786
3.161	125.879
3.211	127.519
3.261	129.160
3.311	130.800
3.361	131.893
3.411	133.533
3.461	135.174
3.511	136.814
3.561	137.907
3.611	139.548
3.661	141.188
3.712	142.828
3.761	144.468
3.811	145.562
3.861	147.202
3.911	148.842
3.961	150.483
4.011	151.576
4.061	153.216
4.111	154.856
4.161	155.950
4.211	157.590
4.261	159.230
4.311	160.871
4.361	161.964
4.411	163.604
4.461	165.245
4.511	166.885
4.561	167.978
4.611	169.619
4.661	171.259
4.711	172.899
4.761	173.992
4.811	175.633
4.861	177.273
4.912	178.913
4.961	180.007
5.011	181.647
5.061	183.287
5.111	184.927
5.161	186.568
5.211	187.661
5.261	189.301
5.311	190.942
5.362	192.582
5.411	193.675
5.461	195.316
5.511	196.956
5.561	198.596
5.611	199.689
5.661	201.330
5.711	202.970
5.761	204.063
5.811	205.704
5.861	207.344
5.911	208.984
5.961	210.078
6.011	211.718
