Motion Through Fluids Experiment Fri, Mar 13, 2020 9:47 AM
Time(sec)	Position(mm)
0.038	31.839
0.138	36.760
0.188	38.947
0.238	41.681
0.288	43.868
0.339	47.148
0.388	49.335
0.438	51.522
0.488	54.256
0.538	56.989
0.588	59.176
0.638	61.910
0.688	64.644
0.738	66.831
0.788	69.564
0.838	71.751
0.888	74.485
0.938	77.219
0.988	79.406
1.038	82.140
1.088	84.873
1.138	87.060
1.188	89.794
1.238	92.528
1.289	94.715
1.338	97.448
1.388	100.182
1.438	102.369
1.488	105.103
1.538	107.290
1.588	110.024
1.638	112.757
1.688	114.944
1.739	117.678
1.788	120.412
1.838	122.599
1.888	125.332
1.938	127.519
1.988	130.253
2.038	132.987
2.088	135.174
2.138	137.907
2.188	140.641
2.238	142.828
2.288	145.562
2.338	147.749
2.388	150.483
2.438	153.216
2.488	155.403
2.538	158.137
2.588	160.324
2.638	163.058
2.688	165.791
2.738	167.978
2.788	170.712
2.838	172.899
2.888	175.633
2.938	178.366
2.988	180.553
3.038	183.287
3.088	185.474
3.139	188.208
3.188	190.942
3.238	193.129
3.288	195.316
3.338	198.049
3.388	200.783
3.438	202.970
3.488	205.157
3.538	207.891
3.588	210.624
3.638	212.811
3.688	215.545
3.738	217.732
3.788	220.466
3.838	222.653
3.888	225.386
3.938	228.120
3.988	230.307
4.038	233.041
4.088	235.228
4.138	237.962
4.188	240.148
4.238	242.882
4.288	245.069
4.338	247.803
4.388	249.990
4.438	252.177
4.488	253.817
4.538	254.911
4.588	0.000
4.639	0.000
4.688	0.000
4.738	0.000
4.788	0.000
4.838	0.000
4.888	0.000
4.938	0.000
4.988	0.000
5.038	0.000
5.088	0.000
5.138	0.000
5.189	0.000
5.238	0.000
5.288	0.000
5.338	0.000
5.388	0.000
5.438	0.000
5.488	0.000
5.538	0.000
5.589	0.000
5.638	0.000
5.688	0.000
5.738	0.000
5.788	0.000
5.838	0.000
5.888	0.000
5.938	0.000
5.988	0.000
6.038	0.000
