Motion Through Fluids Experiment Mon, Mar 09, 2020 4:35 PM
Time(sec)	Position(mm)
0.018	26.918
0.068	29.652
0.118	32.386
0.168	35.120
0.218	37.853
0.268	40.587
0.318	43.321
0.368	46.055
0.418	48.788
0.469	51.522
0.518	54.256
0.568	56.989
0.618	59.723
0.668	62.457
0.718	65.191
0.768	67.924
0.818	70.111
0.868	72.845
0.918	75.579
0.968	78.312
1.018	81.046
1.068	83.780
1.118	86.514
1.168	89.247
1.218	91.981
1.268	94.715
1.318	97.448
1.368	100.182
1.418	102.916
1.468	105.650
1.518	107.837
1.568	110.570
1.618	113.304
1.668	116.038
1.718	118.771
1.769	121.505
1.818	124.239
1.868	126.973
1.918	129.160
1.968	131.893
2.018	134.627
2.068	137.361
2.118	140.094
2.168	142.828
2.218	145.562
2.268	148.296
2.318	151.029
2.368	153.216
2.418	155.950
2.468	158.684
2.518	161.417
2.568	164.151
2.618	166.885
2.668	169.072
2.718	171.806
2.768	174.539
2.818	177.273
2.868	180.007
2.918	182.740
2.968	185.474
3.018	187.661
3.068	190.395
3.118	193.129
3.168	195.862
3.218	198.596
3.268	201.330
3.318	203.517
3.368	206.250
3.418	208.984
3.468	211.718
3.518	214.452
3.568	216.638
3.618	219.372
3.668	221.559
3.718	224.293
3.768	227.027
3.818	229.760
3.868	232.494
3.918	234.681
3.968	237.415
4.018	240.148
4.068	242.882
4.118	245.069
4.168	247.803
4.218	249.990
4.268	252.724
4.318	254.364
4.368	255.457
4.418	0.000
4.468	0.000
4.518	0.000
4.569	0.000
4.618	0.000
4.668	0.000
4.719	0.000
4.769	0.000
4.818	0.000
4.868	0.000
4.918	0.000
4.968	0.000
