Motion Through Fluids Experiment Fri, Mar 13, 2020 9:47 AM
Time(sec)	Position(mm)
0.014	78.312
0.114	83.780
0.164	86.514
0.215	88.701
0.264	91.434
0.314	93.621
0.364	96.355
0.414	99.089
0.464	101.276
0.514	104.009
0.564	106.743
0.614	108.930
0.664	111.664
0.714	114.397
0.764	116.584
0.814	119.318
0.864	122.052
0.914	124.239
0.964	126.973
1.014	129.160
1.064	131.893
1.114	134.627
1.164	136.814
1.214	139.548
1.264	142.281
1.314	144.468
1.364	147.202
1.414	149.936
1.464	152.123
1.514	154.856
1.564	157.043
1.614	159.777
1.664	162.511
1.714	164.698
1.764	167.432
1.814	170.165
1.864	172.352
1.914	175.086
1.964	177.273
2.014	180.007
2.065	182.740
2.114	184.927
2.164	187.661
2.214	189.848
2.264	192.035
2.314	194.769
2.364	197.502
2.414	199.689
2.464	202.423
2.514	205.157
2.564	207.344
2.615	210.078
2.664	212.265
2.714	214.998
2.764	217.185
2.815	219.919
2.865	222.653
2.914	224.840
2.964	227.573
3.015	229.760
3.064	232.494
3.114	235.228
3.164	237.415
3.214	240.148
3.264	242.335
3.314	245.069
3.364	247.256
3.414	249.443
3.464	251.630
3.514	253.817
3.564	254.911
3.614	0.000
3.664	0.000
3.714	0.000
3.764	0.000
3.814	0.000
3.864	0.000
3.914	0.000
3.964	0.000
4.014	0.000
4.064	0.000
4.114	0.000
4.164	0.000
4.214	0.000
4.264	0.000
4.314	0.000
4.364	0.000
4.414	0.000
4.464	0.000
4.514	0.000
4.564	0.000
4.614	0.000
4.664	0.000
4.714	0.000
4.764	0.000
4.814	0.000
4.864	0.000
4.914	0.000
4.964	0.000
5.014	0.000
5.064	0.000
5.114	0.000
5.164	0.000
5.214	0.000
5.264	0.000
5.314	0.000
5.364	0.000
5.414	0.000
5.464	0.000
5.514	0.000
5.564	0.000
5.614	0.000
5.664	0.000
5.714	0.000
5.764	0.000
5.814	0.000
5.864	0.000
5.914	0.000
5.964	0.000
6.014	0.000
