Motion Through Fluids Experiment Fri, Mar 13, 2020 9:55 AM
Time(sec)	Position(mm)
0.012	60.270
0.112	67.924
0.162	71.751
0.212	75.579
0.262	79.406
0.312	83.233
0.362	87.060
0.412	90.887
0.462	94.715
0.512	98.542
0.562	102.369
0.612	106.196
0.662	110.570
0.712	114.397
0.762	118.225
0.812	121.505
0.862	125.879
0.912	129.706
0.962	133.533
1.012	137.361
1.062	141.188
1.113	145.015
1.162	148.842
1.212	153.216
1.262	157.043
1.312	160.871
1.362	164.698
1.412	168.525
1.462	172.352
1.512	176.179
1.562	180.007
1.612	183.834
1.663	188.208
1.712	192.035
1.762	195.862
1.812	199.689
1.862	203.517
1.912	207.344
1.962	211.171
2.012	214.998
2.062	218.825
2.112	223.199
2.162	227.027
2.212	230.854
2.262	234.681
2.312	239.055
2.363	242.882
2.412	246.709
2.462	250.537
2.512	254.364
2.562	0.000
2.612	0.000
2.662	0.000
2.712	0.000
2.762	0.000
2.812	0.000
2.862	0.000
2.912	0.000
2.962	0.000
3.012	0.000
3.062	0.000
3.112	0.000
3.162	0.000
3.212	0.000
3.262	0.000
3.312	0.000
3.363	0.000
3.412	0.000
3.462	0.000
3.512	0.000
3.562	0.000
3.612	0.000
3.662	0.000
3.712	0.000
3.762	0.000
3.812	0.000
3.862	0.000
3.912	0.000
3.962	0.000
4.012	0.000
4.062	0.000
4.112	0.000
4.163	0.000
4.212	0.000
4.262	0.000
4.312	0.000
4.362	0.000
4.412	0.000
4.462	0.000
4.512	0.000
4.562	0.000
4.612	0.000
4.662	0.000
4.712	0.000
4.762	0.000
4.812	0.000
4.862	0.000
4.912	0.000
4.962	0.000
5.012	0.000
5.062	0.000
5.112	0.000
5.162	0.000
5.212	0.000
5.262	0.000
5.312	0.000
5.362	0.000
5.412	0.000
5.463	0.000
5.512	0.000
5.562	0.000
5.612	0.000
5.662	0.000
5.712	0.000
5.762	0.000
5.813	0.000
5.862	0.000
5.912	0.000
5.962	0.000
6.012	0.000
