Motion Through Fluids Experiment Fri, Mar 13, 2020 9:39 AM
Time(sec)	Position(mm)
0.024	15.437
0.124	16.530
0.174	17.624
0.224	18.171
0.274	18.717
0.374	20.358
0.424	20.904
0.474	21.998
0.524	22.545
0.574	23.091
0.624	24.185
0.674	24.732
0.724	25.278
0.774	26.372
0.824	26.918
0.875	27.465
0.924	28.559
0.974	29.105
1.024	29.652
1.074	30.746
1.124	31.292
1.174	31.839
1.224	32.933
1.274	33.479
1.324	34.026
1.375	35.120
1.424	35.666
1.474	36.213
1.524	37.307
1.574	37.853
1.624	38.400
1.674	39.494
1.724	40.040
1.774	40.587
1.824	41.134
1.874	42.227
1.924	42.774
1.974	43.321
2.024	44.414
2.074	44.961
2.124	45.508
2.174	46.601
2.224	47.148
2.274	47.695
2.325	48.788
2.374	49.335
2.424	49.882
2.474	50.975
2.524	51.522
2.574	52.069
2.624	52.615
2.674	53.709
2.724	54.256
2.774	54.802
2.824	55.896
2.874	56.443
2.924	56.989
2.974	58.083
3.024	58.630
3.074	59.176
3.124	60.270
3.174	60.817
3.225	61.363
3.274	62.457
3.325	63.004
3.374	63.550
3.424	64.644
3.474	65.191
3.524	65.737
3.574	66.284
3.624	67.378
3.674	67.924
3.724	68.471
3.774	69.564
3.824	70.111
3.874	70.658
3.924	71.751
3.974	72.298
4.024	72.845
4.074	73.938
4.124	74.485
4.174	75.032
4.224	75.579
4.274	76.672
4.324	77.219
4.374	77.766
4.424	78.859
4.474	79.406
4.525	79.953
4.574	81.046
4.624	81.593
4.674	82.140
4.724	83.233
4.774	83.780
4.824	84.327
4.874	84.873
4.924	85.967
4.974	86.514
5.024	87.060
5.074	88.154
5.124	88.701
5.175	89.247
5.224	90.341
5.274	90.887
5.324	91.434
5.374	91.981
5.424	93.074
5.474	93.621
5.524	94.168
5.574	95.261
5.624	95.808
5.675	96.355
5.724	96.902
5.774	97.995
5.824	98.542
5.874	99.089
5.924	100.182
5.974	100.729
6.024	101.276
6.074	102.369
