Motion Through Fluids Experiment Fri, Mar 13, 2020 9:41 AM
Time(sec)	Position(mm)
0.048	14.890
0.098	15.437
0.148	16.530
0.198	17.077
0.248	17.624
0.298	18.717
0.348	19.264
0.398	19.811
0.448	20.904
0.498	21.451
0.548	22.545
0.598	23.091
0.648	23.638
0.698	24.732
0.748	25.278
0.798	25.825
0.848	26.918
0.898	27.465
0.948	28.012
0.998	29.105
1.048	29.652
1.098	30.199
1.148	31.292
1.198	31.839
1.248	32.386
1.298	33.479
1.348	34.026
1.398	34.573
1.448	35.666
1.498	36.213
1.548	36.760
1.598	37.853
1.648	38.400
1.698	38.947
1.748	40.040
1.798	40.587
1.848	41.134
1.898	42.227
1.948	42.774
1.998	43.321
2.048	44.414
2.098	44.961
2.148	45.508
2.198	46.601
2.248	47.148
2.298	47.695
2.348	48.788
2.398	49.335
2.448	49.882
2.501	50.975
2.548	51.522
2.598	52.069
2.648	53.162
2.698	53.709
2.748	54.802
2.798	55.349
2.848	55.896
2.898	56.443
2.948	57.536
2.998	58.083
3.049	59.176
3.098	59.723
3.148	60.270
3.198	60.817
3.248	61.910
3.299	62.457
3.349	63.550
3.398	64.097
3.448	64.644
3.499	65.191
3.548	66.284
3.598	66.831
3.648	67.378
3.698	68.471
3.748	69.018
3.798	69.564
3.848	70.658
3.898	71.205
3.948	71.751
3.998	72.845
4.048	73.392
4.098	73.938
4.148	75.032
4.198	75.579
4.248	76.125
4.298	77.219
4.348	77.766
4.398	78.312
4.449	78.859
4.498	79.953
4.548	80.499
4.598	81.046
4.648	82.140
4.698	82.686
4.748	83.233
4.798	84.327
4.848	84.873
4.898	85.420
4.948	86.514
4.998	87.060
5.048	87.607
5.098	88.701
5.148	89.247
5.198	89.794
5.248	90.887
5.298	91.434
5.348	91.981
5.398	93.074
5.448	93.621
5.498	94.168
5.548	95.261
5.598	95.808
5.648	96.355
5.698	97.448
5.748	97.995
5.798	98.542
5.848	99.635
5.898	100.182
5.948	100.729
5.998	101.822
