Motion Through Fluids Experiment Mon, Mar 09, 2020 4:14 PM
Time(sec)	Position(mm)
0.003	6.142
0.103	6.142
0.153	6.689
0.203	6.689
0.253	7.236
0.303	7.236
0.353	7.236
0.403	7.782
0.453	7.782
0.503	8.329
0.553	8.329
0.604	8.329
0.653	8.876
0.703	8.876
0.753	9.423
0.803	9.423
0.853	9.423
0.903	9.969
0.953	9.969
1.003	10.516
1.053	10.516
1.103	10.516
1.153	11.063
1.203	11.063
1.253	11.063
1.303	11.610
1.353	11.610
1.403	11.610
1.453	12.156
1.503	12.156
1.553	12.703
1.603	12.703
1.653	12.703
1.703	13.250
1.753	13.250
1.803	13.797
1.853	13.797
1.903	13.797
1.953	14.343
2.003	14.343
2.053	14.343
2.103	14.890
2.153	14.890
2.204	15.437
2.254	15.437
2.303	15.437
2.353	15.984
2.403	15.984
2.453	15.984
2.503	16.530
2.553	16.530
2.603	17.077
2.653	17.077
2.703	17.077
2.753	17.624
2.803	17.624
2.853	17.624
2.903	18.171
2.953	18.171
3.003	18.717
3.053	18.717
3.103	19.264
3.153	19.264
3.203	19.264
3.253	19.811
3.303	19.811
3.353	19.811
3.403	20.358
3.453	20.358
3.503	20.358
3.553	20.904
3.603	20.904
3.654	21.451
3.703	21.451
3.753	21.998
3.803	21.998
3.853	21.998
3.903	22.545
3.953	22.545
4.003	22.545
4.053	23.091
4.103	23.091
4.153	23.091
4.203	23.638
4.253	23.638
4.303	24.185
4.353	24.185
4.404	24.185
4.453	24.732
4.503	24.732
4.553	25.278
4.603	25.278
4.653	25.278
4.703	25.825
4.753	25.825
4.803	25.825
4.853	26.372
4.903	26.372
4.953	26.918
5.003	26.918
5.053	26.918
5.103	27.465
5.153	27.465
5.203	28.012
5.253	28.012
5.303	28.012
5.354	28.559
5.404	28.559
5.454	28.559
5.503	29.105
5.553	29.105
5.603	29.652
5.653	29.652
5.704	30.199
5.753	30.199
5.804	30.199
5.853	30.746
5.903	30.746
5.953	30.746
6.003	31.292
6.053	31.292
6.103	31.292
6.153	31.839
6.203	31.839
6.253	32.386
6.303	32.386
6.353	32.386
6.403	32.933
6.453	32.933
6.503	32.933
6.553	33.479
6.603	33.479
6.653	34.026
6.703	34.026
6.753	34.026
6.803	34.573
6.853	34.573
6.903	35.120
6.953	35.120
7.003	35.120
7.053	35.666
7.103	35.666
7.153	36.213
7.203	36.213
7.253	36.213
7.303	36.760
7.353	36.760
7.403	36.760
7.453	37.307
7.503	37.307
7.553	37.853
7.603	37.853
7.653	37.853
7.703	38.400
7.753	38.400
7.803	38.400
7.853	38.947
7.903	38.947
7.953	39.494
8.004	39.494
8.053	39.494
8.103	40.040
8.153	40.040
8.203	40.040
8.253	40.587
8.303	40.587
8.353	41.134
8.404	41.134
8.453	41.134
8.503	41.681
8.553	41.681
8.603	42.227
8.653	42.227
8.703	42.227
8.753	42.774
8.803	42.774
8.854	43.321
8.903	43.321
8.953	43.321
9.003	43.868
9.053	43.868
9.103	43.868
9.153	44.414
9.203	44.414
9.253	44.961
9.303	44.961
9.353	44.961
9.403	45.508
9.453	45.508
9.503	46.055
9.553	46.055
9.604	46.055
9.653	46.601
9.703	46.601
9.753	46.601
9.803	47.148
9.853	47.148
9.903	47.148
9.953	47.695
10.003	47.695
