Motion Through Fluids Experiment Mon, Mar 09, 2020 4:32 PM
Time(sec)	Position(mm)
0.046	10.516
0.096	12.156
0.146	13.797
0.196	15.437
0.246	17.077
0.296	18.717
0.346	20.358
0.396	21.998
0.446	24.185
0.496	25.825
0.546	27.465
0.596	29.105
0.647	30.746
0.696	32.386
0.746	34.026
0.796	35.666
0.846	37.307
0.896	38.947
0.946	40.587
0.996	41.681
1.046	43.868
1.096	44.961
1.146	46.601
1.196	48.241
1.246	49.882
1.296	51.522
1.346	53.162
1.396	54.802
1.446	56.443
1.496	58.083
1.546	59.723
1.596	61.363
1.646	63.004
1.696	64.644
1.746	66.284
1.796	67.924
1.846	69.564
1.896	71.205
1.946	72.845
1.996	74.485
2.046	76.125
2.096	77.766
2.146	79.406
2.196	81.046
2.246	82.140
2.296	83.780
2.346	85.420
2.396	87.060
2.446	88.701
2.496	90.341
2.546	91.981
2.596	93.621
2.646	95.261
2.696	96.902
2.746	98.542
2.797	100.182
2.846	101.822
2.896	103.463
2.946	105.103
2.996	106.743
3.046	108.383
3.096	110.024
3.146	111.664
3.196	112.757
3.246	114.397
3.296	116.038
3.346	117.678
3.396	119.318
3.446	120.958
3.496	122.599
3.546	124.239
3.596	125.879
3.646	127.519
3.696	129.160
3.747	130.800
3.796	132.440
3.846	134.080
3.896	135.720
3.946	136.814
3.996	138.454
4.046	140.094
4.096	141.735
4.146	143.375
4.197	145.015
4.246	146.109
4.296	147.749
4.346	149.389
4.396	151.029
4.446	152.670
4.496	154.310
4.546	155.950
4.596	157.590
4.646	159.230
4.696	160.324
4.746	161.964
4.796	163.604
4.846	165.245
4.896	166.885
4.946	168.525
4.996	170.165
5.046	171.806
5.096	173.446
5.146	175.086
5.196	176.726
5.247	178.366
5.296	179.460
5.346	181.100
5.396	182.740
5.446	184.381
5.496	186.021
5.546	187.661
5.596	189.301
5.646	190.942
5.696	192.582
5.746	194.222
5.796	195.316
5.846	196.956
5.896	198.596
5.946	200.236
5.996	201.876
6.046	203.517
6.096	205.157
6.146	206.797
6.196	208.437
6.246	210.078
6.296	211.171
6.346	212.811
6.396	214.452
6.446	216.092
6.496	217.732
6.546	219.372
6.596	221.012
6.646	222.106
6.696	223.746
6.747	225.386
6.796	227.027
6.846	228.667
6.896	230.307
6.946	231.947
6.996	233.588
7.046	234.681
7.096	236.321
7.146	237.962
7.196	239.602
7.246	240.695
7.296	242.335
7.346	243.976
7.396	245.616
7.446	246.709
7.496	248.350
7.546	249.443
7.596	251.083
7.646	252.724
7.696	253.817
7.746	254.911
7.796	255.457
7.846	0.000
7.896	0.000
7.946	0.000
7.996	0.000
