Motion Through Fluids Experiment Mon, Mar 09, 2020 3:45 PM
Time(sec)	Position(mm)
0.018	34.573
0.068	38.947
0.118	42.774
0.168	47.695
0.218	51.522
0.268	56.443
0.318	60.270
0.368	64.644
0.418	69.018
0.468	73.392
0.518	77.219
0.568	81.593
0.618	85.967
0.668	90.341
0.718	94.715
0.768	99.089
0.818	103.463
0.868	107.837
0.918	112.210
0.968	116.584
1.018	120.958
1.068	125.879
1.118	130.253
1.168	134.627
1.218	138.454
1.268	143.375
1.318	147.202
1.368	151.576
1.418	155.950
1.468	160.324
1.518	164.698
1.568	169.072
1.618	173.446
1.668	177.820
1.718	182.740
1.768	187.114
1.818	191.488
1.868	195.862
1.918	200.236
1.968	204.063
2.018	208.437
2.068	212.811
2.119	217.185
2.168	221.559
2.218	225.933
2.268	229.760
2.318	234.681
2.368	238.508
2.418	242.882
2.468	247.803
2.518	252.177
2.568	0.000
2.618	0.000
2.668	0.000
2.718	0.000
2.768	0.000
2.818	0.000
2.868	0.000
2.918	0.000
2.968	0.000
3.018	0.000
3.068	0.000
3.118	0.000
3.168	0.000
3.218	0.000
3.268	0.000
3.318	0.000
3.368	0.000
3.418	0.000
3.468	0.000
3.518	0.000
3.568	0.000
3.618	0.000
3.668	0.000
3.718	0.000
3.768	0.000
3.818	0.000
3.868	0.000
3.918	0.000
3.968	0.000
4.018	0.000
4.068	0.000
4.118	0.000
4.168	0.000
4.218	0.000
4.268	0.000
4.318	0.000
4.368	0.000
4.418	0.000
4.468	0.000
4.518	0.000
4.568	0.000
4.618	0.000
4.668	0.000
4.718	0.000
4.768	0.000
4.819	0.000
4.869	0.000
4.918	0.000
4.968	0.000
