Motion Through Fluids Experiment Fri, Mar 13, 2020 10:01 AM
Time(sec)	Position(mm)
0.044	0.675
0.094	17.624
0.144	20.904
0.194	25.825
0.244	30.199
0.294	35.120
0.344	39.494
0.394	44.961
0.444	49.335
0.494	54.256
0.544	58.630
0.594	63.550
0.644	68.471
0.694	73.392
0.744	78.312
0.794	83.233
0.844	88.154
0.894	93.074
0.944	97.995
0.997	103.463
1.044	107.290
1.095	112.210
1.144	117.131
1.194	122.052
1.244	126.973
1.294	131.347
1.344	136.267
1.394	141.735
1.444	146.109
1.494	151.029
1.544	155.950
1.594	160.871
1.644	165.245
1.694	170.165
1.744	175.086
1.794	180.007
1.844	184.381
1.894	189.301
1.944	193.675
1.998	198.596
2.044	203.517
2.094	208.437
2.144	213.358
2.194	218.279
2.244	223.199
2.295	227.573
2.344	232.494
2.395	237.415
2.444	241.789
2.494	246.709
2.544	251.630
2.594	254.911
2.644	0.000
2.694	0.000
2.744	0.000
2.794	0.000
2.844	0.000
2.894	0.000
2.944	0.000
2.994	0.000
3.044	0.000
3.094	0.000
3.144	0.000
3.194	0.000
3.244	0.000
3.294	0.000
3.344	0.000
3.394	0.000
3.444	0.000
3.494	0.000
3.544	0.000
3.594	0.000
3.644	0.000
3.694	0.000
3.744	0.000
3.795	0.000
3.844	0.000
3.894	0.000
3.944	0.000
3.994	0.000
