Motion Through Fluids Experiment Mon, Mar 09, 2020 3:44 PM
Time(sec)	Position(mm)
0.007	0.000
0.107	3.409
0.157	6.142
0.207	9.969
0.257	13.797
0.307	17.624
0.357	21.998
0.407	26.372
0.457	30.746
0.507	34.573
0.557	38.947
0.607	43.321
0.657	47.695
0.707	52.069
0.757	56.443
0.807	60.817
0.857	65.191
0.907	70.111
0.957	74.485
1.007	79.406
1.057	83.780
1.107	88.701
1.157	93.074
1.207	97.448
1.257	101.822
1.307	106.743
1.357	111.117
1.407	116.038
1.457	120.412
1.507	125.332
1.557	130.253
1.607	134.627
1.657	139.548
1.707	144.468
1.757	148.296
1.807	153.763
1.857	158.684
1.907	163.058
1.957	167.978
2.007	171.806
2.057	177.273
2.107	181.647
2.157	186.021
2.207	190.395
2.257	195.316
2.307	200.236
2.357	205.157
2.407	209.531
2.457	214.452
2.508	219.372
2.557	224.293
2.607	229.214
2.657	234.134
2.707	239.055
2.757	243.429
2.807	248.350
2.857	253.270
2.908	0.000
2.957	0.000
3.007	0.000
3.057	0.000
3.107	0.000
3.157	0.000
3.207	0.000
3.257	0.000
3.307	0.000
3.357	0.000
3.407	0.000
3.457	0.000
3.507	0.000
3.557	0.000
3.607	0.000
3.657	0.000
3.707	0.000
3.757	0.000
3.807	0.000
3.857	0.000
3.907	0.000
3.957	0.000
4.007	0.000
4.057	0.000
4.107	0.000
4.157	0.000
4.207	0.000
4.257	0.000
4.307	0.000
4.357	0.000
4.407	0.000
4.457	0.000
4.508	0.000
4.557	0.000
4.608	0.000
4.657	0.000
4.708	0.000
4.757	0.000
4.807	0.000
4.857	0.000
4.907	0.000
4.957	0.000
5.007	0.000
