Motion Through Fluids Experiment Mon, Mar 09, 2020 3:46 PM
Time(sec)	Position(mm)
0.011	9.423
0.111	17.077
0.161	20.904
0.211	24.732
0.261	29.105
0.311	32.933
0.361	37.307
0.411	41.681
0.461	46.055
0.511	50.428
0.561	54.802
0.611	59.176
0.661	63.004
0.711	67.378
0.761	71.751
0.811	75.579
0.861	79.953
0.911	84.327
0.961	88.701
1.011	93.074
1.061	97.448
1.111	101.822
1.161	106.743
1.211	111.117
1.261	115.491
1.311	119.865
1.361	123.692
1.411	128.613
1.461	132.440
1.511	136.814
1.561	141.188
1.611	145.562
1.661	149.936
1.711	154.856
1.761	159.230
1.811	163.604
1.861	167.978
1.911	172.352
1.961	176.726
2.011	181.100
2.061	184.927
2.111	189.301
2.161	193.675
2.211	198.049
2.261	202.970
2.311	207.344
2.361	211.718
2.411	216.092
2.461	220.466
2.511	225.386
2.561	229.760
2.611	234.134
2.661	238.508
2.711	242.882
2.761	247.256
2.811	251.630
2.861	254.911
2.911	0.000
2.961	0.000
3.011	0.000
3.061	0.000
3.111	0.000
3.161	0.000
3.212	0.000
3.261	0.000
3.311	0.000
3.361	0.000
3.411	0.000
3.461	0.000
3.511	0.000
3.561	0.000
3.611	0.000
3.661	0.000
3.711	0.000
3.761	0.000
3.811	0.000
3.861	0.000
3.911	0.000
3.962	0.000
4.011	0.000
4.061	0.000
4.111	0.000
4.161	0.000
4.212	0.000
4.261	0.000
4.311	0.000
4.361	0.000
4.411	0.000
4.461	0.000
4.511	0.000
4.561	0.000
4.611	0.000
4.661	0.000
4.712	0.000
4.761	0.000
4.811	0.000
4.861	0.000
4.911	0.000
4.961	0.000
5.011	0.000
