Motion Through Fluids Experiment Mon, Mar 09, 2020 4:29 PM
Time(sec)	Position(mm)
0.005	88.154
0.055	89.247
0.105	89.794
0.155	90.341
0.205	91.434
0.255	91.981
0.305	93.074
0.355	93.621
0.405	94.168
0.455	95.261
0.505	95.808
0.555	96.355
0.605	97.448
0.655	97.995
0.705	99.089
0.755	99.635
0.805	100.182
0.855	101.276
0.905	101.822
0.955	102.369
1.005	103.463
1.055	104.009
1.105	105.103
1.155	105.650
1.205	106.196
1.255	107.290
1.305	107.837
1.355	108.383
1.405	109.477
1.455	110.024
1.505	111.117
1.555	111.664
1.606	112.757
1.655	113.304
1.705	113.851
1.755	114.944
1.805	115.491
1.855	116.584
1.905	117.131
1.955	117.678
2.005	118.771
2.055	119.318
2.105	119.865
2.155	120.958
2.205	121.505
2.255	122.599
2.305	123.145
2.355	123.692
2.405	124.786
2.455	125.332
2.505	125.879
2.555	126.973
2.605	127.519
2.655	128.613
2.705	129.160
2.755	129.706
2.805	130.800
2.855	131.347
2.905	132.440
2.955	132.987
3.005	133.533
3.055	134.627
3.105	135.174
3.155	135.720
3.205	136.814
3.255	137.361
3.305	138.454
3.355	139.001
3.405	139.548
3.455	140.641
3.505	141.188
3.555	142.281
3.605	142.828
3.655	143.375
3.705	143.922
3.755	145.015
3.805	145.562
3.855	146.109
3.905	147.202
3.955	147.749
4.005	148.842
4.056	149.389
4.105	149.936
4.155	151.029
4.205	151.576
4.255	152.670
4.305	153.216
4.355	153.763
4.405	154.856
4.455	155.403
4.505	156.497
4.555	157.043
4.605	157.590
4.655	158.684
4.705	159.230
4.755	159.777
4.805	160.871
4.855	161.417
4.906	162.511
4.956	163.058
5.006	163.604
5.055	164.698
5.105	165.245
5.155	165.791
5.205	166.885
5.255	167.432
5.305	167.978
5.355	169.072
5.405	169.619
5.455	170.712
5.505	171.259
5.555	171.806
5.605	172.899
5.655	173.446
5.705	173.992
5.755	175.086
5.805	175.633
5.855	176.726
5.905	177.273
5.955	177.820
6.005	178.913
6.055	179.460
6.105	180.007
6.155	181.100
6.205	181.647
6.255	182.740
6.305	183.287
6.355	183.834
6.405	184.927
6.455	185.474
6.506	186.021
6.555	187.114
6.605	187.661
6.655	188.208
6.705	189.301
6.755	189.848
6.805	190.395
6.855	191.488
6.905	192.035
6.955	193.129
7.005	193.675
7.055	194.222
7.105	195.316
7.155	195.862
7.206	196.409
7.255	197.502
7.305	198.049
7.355	199.143
7.405	199.689
7.455	200.236
7.505	201.330
7.555	201.876
7.605	202.423
7.655	203.517
7.705	204.063
7.755	205.157
7.805	205.704
7.855	206.250
7.905	207.344
7.955	207.891
8.005	208.437
8.055	209.531
8.105	210.078
8.155	210.624
8.205	211.718
8.255	212.265
8.305	212.811
8.355	213.905
8.405	214.452
8.455	214.998
8.505	216.092
8.555	216.638
8.605	217.732
8.655	218.279
8.705	218.825
8.755	219.919
8.805	220.466
8.855	221.012
8.905	222.106
8.955	222.653
9.005	223.199
9.055	224.293
9.105	224.840
9.155	225.386
9.205	226.480
9.255	227.027
9.305	227.573
9.355	228.667
9.405	229.214
9.455	230.307
9.505	230.854
9.555	231.401
9.605	232.494
9.655	233.041
9.705	233.588
9.755	234.681
9.805	235.228
9.855	235.775
9.905	236.868
9.955	237.415
