Motion Through Fluids Experiment Mon, Mar 09, 2020 4:19 PM
Time(sec)	Position(mm)
0.025	34.026
0.075	34.026
0.125	34.573
0.175	35.120
0.225	35.666
0.276	36.213
0.325	36.760
0.375	36.760
0.425	37.307
0.475	37.853
0.525	38.400
0.575	38.947
0.625	38.947
0.675	39.494
0.725	40.040
0.775	40.587
0.825	41.134
0.875	41.681
0.926	42.227
0.975	42.227
1.025	42.774
1.075	43.321
1.125	43.868
1.175	44.414
1.225	44.414
1.275	44.961
1.325	45.508
1.375	46.055
1.425	46.601
1.475	47.148
1.525	47.148
1.575	47.695
1.625	48.241
1.675	48.788
1.725	49.335
1.775	49.882
1.825	49.882
1.875	50.428
1.925	50.975
1.975	51.522
2.025	51.522
2.075	52.069
2.125	52.615
2.175	53.162
2.226	53.709
2.275	54.256
2.325	54.802
2.375	54.802
2.425	55.349
2.475	55.896
2.525	56.443
2.575	56.989
2.625	56.989
2.675	57.536
2.726	58.083
2.775	58.630
2.825	59.176
2.875	59.176
2.925	59.723
2.975	60.270
3.025	60.817
3.075	61.363
3.125	61.910
3.175	61.910
3.225	62.457
3.275	63.004
3.325	63.550
3.375	64.097
3.425	64.097
3.475	64.644
3.525	65.191
3.575	65.737
3.625	66.284
3.675	66.284
3.725	66.831
3.775	67.378
3.825	67.924
3.875	68.471
3.925	68.471
3.975	69.018
4.025	69.564
4.075	70.111
4.125	70.658
4.175	71.205
4.225	71.205
4.275	71.751
4.325	72.298
4.375	72.845
4.425	73.392
4.475	73.392
4.525	73.938
4.575	74.485
4.625	75.032
4.675	75.579
4.725	75.579
4.775	76.125
4.825	76.672
4.875	77.219
4.925	77.766
4.975	77.766
5.025	78.312
5.075	78.859
5.125	79.406
5.175	79.953
5.225	80.499
5.275	80.499
5.325	81.046
5.375	81.593
5.425	82.140
5.475	82.686
5.525	83.233
5.575	83.233
5.625	83.780
5.675	84.327
5.726	84.873
5.776	85.420
5.826	85.420
5.875	85.967
5.925	86.514
5.975	87.060
6.025	87.607
6.075	88.154
6.125	88.154
6.175	88.701
6.225	89.247
6.275	89.794
6.325	90.341
6.375	90.341
6.425	90.887
6.475	91.434
6.525	91.981
6.575	92.528
6.625	93.074
6.675	93.074
6.725	93.621
6.775	94.168
6.825	94.715
6.876	95.261
6.926	95.261
6.975	95.808
7.025	96.355
7.076	96.902
7.125	97.448
7.176	97.995
7.225	97.995
7.275	98.542
7.325	99.089
7.376	99.635
7.425	100.182
7.475	100.182
7.525	100.729
7.575	101.276
7.625	101.822
7.675	102.369
7.725	102.369
7.776	102.916
7.825	103.463
7.875	104.009
7.925	104.556
7.975	105.103
8.025	105.103
8.075	105.650
8.125	106.196
8.175	106.743
8.225	106.743
8.275	107.290
8.325	107.837
8.375	108.383
8.425	108.930
8.475	108.930
8.525	109.477
8.575	110.024
8.625	110.570
8.675	111.117
8.725	111.664
8.775	111.664
8.825	112.210
8.875	112.757
8.925	113.304
8.975	113.851
9.025	113.851
9.075	114.397
9.125	114.944
9.175	115.491
9.225	116.038
9.275	116.038
9.325	116.584
9.375	117.131
9.425	117.678
9.475	118.225
9.525	118.771
9.575	118.771
9.625	119.318
9.675	119.865
9.725	120.412
9.776	120.958
9.825	121.505
9.875	121.505
9.925	122.052
9.975	122.599
