Sample	Distance(cm)
403	22.6068	
404	22.716	
405	22.8425	
406	22.9087	
407	23.0394	
408	23.1658	
409	23.2836	
410	23.4144	
411	23.5279	
412	23.6453	
413	23.7588	
414	23.8551	
415	23.9471	
416	24.0951	
417	24.2301	
418	24.2748	
419	24.3023	
420	24.2825	
421	24.2671	
422	24.2258	
423	24.2017	
424	24.1518	
425	24.1191	
426	24.0817	
427	24.0017	
428	23.9304	
429	23.9579	
430	23.9166	
431	23.8108	
432	23.7179	
433	23.6165	
434	23.4849	
435	23.3576	
436	23.2045	
437	23.0643	
438	22.8984	
439	22.741	
440	22.6094	
441	22.4606	
442	22.3591	
443	22.2276	
444	22.1132	
445	21.9988	
446	21.8973	
447	21.7954	
448	21.6982	
449	21.6096	
450	21.534	
451	21.4712	
452	21.4127	
453	21.3671	
454	21.3388	
455	21.3233	
456	21.3293	
457	21.3955	
458	21.5004	
459	21.5795	
460	21.6544	
461	21.7335	
462	21.7954	
463	21.8784	
464	21.979	
465	22.0925	
466	22.1975	
467	22.3368	
468	22.4847	
469	22.6541	
470	22.8493	
471	23.0919	
472	23.3215	
473	23.4909	
474	23.7029	
475	23.8508	
476	23.9987	
477	24.1897	
478	24.2301	
479	24.3866	
480	24.47	
481	24.5706	
482	24.7357	
483	24.8235	
484	24.9069	
485	25.1279	
486	25.2754	
487	25.3674	
488	25.3777	
489	25.3666	
490	25.3296	
491	25.1679	
492	25.1008	
493	25.0208	
494	24.9366	
495	24.7577	
496	24.6304	
497	24.516	
498	24.4274	
499	24.3475	
500	24.1944	
501	24.0843	
502	23.9656	
503	23.8082	
504	23.6767	
505	23.5145	
506	23.3099	
507	23.0622	
508	22.8661	
509	22.7087	
510	22.547	
511	22.4026	
512	22.2624	
513	22.1308	
514	22.0078	
515	21.8806	
516	21.7705	
517	21.6647	
518	21.5374	
519	21.4316	
520	21.343	
521	21.1814	
522	21.0842	
523	21.0257	
524	20.9973	
525	20.9947	
526	21.0046	
527	21.0322	
528	21.0812	
529	21.1431	
530	21.2136	
531	21.254	
532	21.3289	
533	21.4295	
534	21.5215	
535	21.6178	
536	21.7485	
537	21.8707	
538	21.9971	
539	22.1618	
540	22.3269	
541	22.6382	
542	22.7947	
543	22.9598	
544	23.1078	
545	23.2557	
546	23.3821	
547	23.5128	
548	23.6479	
549	23.7657	
550	23.8788	
551	23.9923	
552	24.0929	
553	24.1849	
554	24.2683	
555	24.369	
556	24.4438	
557	24.5358	
558	24.6579	
559	24.7155	
560	24.7216	
561	24.6932	
562	24.6605	
563	24.6149	
564	24.5431	
565	24.4459	
566	24.3659	
567	24.3462	
568	24.292	
569	24.1905	
570	24.0976	
571	24.0305	
572	23.899	
573	23.7932	
574	23.6487	
575	23.4827	
576	23.3296	
577	23.1422	
578	23.0063	
579	22.8446	
580	22.7173	
581	22.5771	
582	22.4499	
583	22.3484	
584	22.2211	
585	22.145	
586	22.065	
587	21.9549	
588	21.8879	
589	21.8208	
590	21.7537	
591	21.678	
592	21.6238	
593	21.5955	
594	21.5843	
595	21.5989	
596	21.6264	
597	21.6797	
598	21.7632	
599	21.8251	
600	21.887	
601	21.9614	
602	22.0577	
603	22.154	
604	22.2159	
605	22.3295	
606	22.443	
607	22.5436	
608	22.7001	
609	22.8265	
610	22.9917	
611	23.1353	
612	23.309	
613	23.4694	
614	23.5915	
615	23.7394	
616	23.8229	
617	23.9493	
618	24.0499	
619	24.129	
620	24.2382	
621	24.2916	
622	24.2847	
623	24.3552	
624	24.4687	
625	24.5263	
626	24.5448	
627	24.5465	
628	24.544	
629	24.5328	
630	24.5001	
631	24.4674	
632	24.4218	
633	24.3505	
634	24.2791	
635	24.1948	
636	24.1062	
637	24.0176	
638	23.8947	
639	23.7803	
640	23.6702	
641	23.5429	
642	23.4113	
643	23.2798	
644	23.1181	
645	22.9732	
646	22.7728	
647	22.6283	
648	22.3419	
649	22.2018	
650	22.0616	
651	21.9171	
652	21.8156	
653	21.6711	
654	21.574	
655	21.6101	
656	21.4097	
657	21.2996	
658	21.2712	
659	21.2085	
660	21.1156	
661	21.0657	
662	21.0416	
663	21.0347	
664	21.0494	
665	21.1238	
666	21.2803	
667	21.3594	
668	21.4041	
669	21.4789	
670	21.5667	
671	21.6587	
672	21.7593	
673	21.8642	
674	21.9863	
675	22.117	
676	22.2392	
677	22.3914	
678	22.5432	
679	22.7126	
680	22.8734	
681	23.0944	
682	23.337	
683	23.4763	
684	23.65	
685	23.785	
686	23.9329	
687	24.0723	
688	24.1815	
689	24.3204	
690	24.4468	
691	24.5173	
692	24.6222	
693	24.8088	
694	24.9525	
695	25.0144	
696	25.0763	
697	25.1296	
698	25.1572	
699	25.1589	
700	25.2036	
701	25.2311	
702	25.1378	
703	24.9804	
704	24.8574	
705	24.8119	
706	24.7448	
707	24.5831	
