Sample,Distance
462,18.9845
463,19.3173
464,19.6544
465,20.0217
466,20.3932
467,20.7733
468,21.1663
469,21.5546
470,21.9519
471,22.345
472,22.7165
473,23.1009
474,23.4724
475,23.8224
476,24.1595
477,24.4661
478,24.7345
479,24.977
480,25.1894
481,25.376
482,25.5368
483,25.6676
484,25.7725
485,25.8387
486,25.8748
487,25.8722
488,25.852
489,25.8107
490,25.7265
491,25.6078
492,25.4547
493,25.2629
494,25.0109
495,24.759
496,24.4769
497,24.1776
498,23.8525
499,23.5102
500,23.1594
501,22.7913
502,22.406
503,22.0336
504,21.6484
505,21.2674
506,20.8864
507,20.5097
508,20.1502
509,19.795
510,19.4399
511,19.1019
512,18.7854
513,18.4818
514,18.1912
515,17.9435
516,17.7173
517,17.5083
518,17.3423
519,17.2064
520,17.1179
521,17.0594
522,17.0607
523,17.1183
524,17.1845
525,17.255
526,17.36
527,17.4864
528,17.6472
529,17.8338
530,18.0376
531,18.2888
532,18.5614
533,18.8508
534,19.1707
535,19.5078
536,19.8664
537,20.2423
538,20.6181
539,21.0025
540,21.3783
541,21.7623
542,22.1424
543,22.5096
544,22.8726
545,23.2269
546,23.5726
547,23.9054
548,24.2167
549,24.519
550,24.8045
551,25.06
552,25.281
553,25.4848
554,25.6499
555,25.7763
556,25.8727
557,25.9346
558,25.9664
559,25.9638
560,25.9178
561,25.8507
562,25.7493
563,25.6005
564,25.4302
565,25.2298
566,25.0079
567,24.756
568,24.4782
569,24.1789
570,23.8667
571,23.5244
572,23.1779
573,22.8012
574,22.4288
575,22.0435
576,21.6539
577,21.273
578,20.8705
579,20.4895
580,20.1257
581,19.7662
582,19.4197
583,19.0903
584,18.7781
585,18.4874
586,18.201
587,17.9577
588,17.7401
589,17.544
590,17.3823
591,17.2507
592,17.145
593,17.0779
594,17.0276
595,17.025
596,17.0525
597,17.1187
598,17.2151
599,17.3501
600,17.5109
601,17.6932
602,17.9142
603,18.161
604,18.4337
605,18.7231
606,19.0301
607,19.3586
608,19.7043
609,20.0457
610,20.413
611,20.7888
612,21.1732
613,21.5615
614,21.9502
615,22.3303
616,22.7147
617,23.0734
618,23.4406
619,23.7863
620,24.1277
621,24.4472
622,24.7327
623,24.9968
624,25.2092
625,25.413
626,25.5738
627,25.7131
628,25.8224
629,25.8972
630,25.9419
631,25.9565
632,25.9238
633,25.8778
634,25.7979
635,25.6964
636,25.5519
637,25.3816
638,25.1812
639,24.9206
640,24.6472
641,24.3651
642,24.0486
643,23.7235
644,23.3855
645,23.0304
646,22.6709
647,22.2856
648,21.9175
649,21.5452
650,21.1685
651,20.7832
652,20.4194
653,20.0599
654,19.7133
655,19.3625
656,19.0417
657,18.7424
658,18.4646
659,18.2169
660,17.9951
661,17.7904
662,17.6158
663,17.4842
664,17.3827
665,17.32
666,17.2783
667,17.28
668,17.3032
669,17.3522
670,17.4227
671,17.5363
672,17.6455
673,17.8063
674,17.98
675,18.2096
676,18.5038
677,18.7979
678,19.1045
679,19.433
680,19.7744
681,20.1244
682,20.4658
683,20.8116
684,21.1702
685,21.5288
686,21.8999
687,22.28
688,22.6386
689,23.0059
690,23.3516
691,23.6758
692,23.9957
693,24.2898
694,24.5706
695,24.8088
696,25.0299
697,25.2165
698,25.373
699,25.5209
700,25.6087
701,25.6835
702,25.7196
703,25.7256
704,25.7101
705,25.6387
706,25.5712
707,25.4397
708,25.2823
709,25.1206
710,24.9116
711,24.6725
712,24.4206
713,24.1471
714,23.8177
715,23.4969
716,23.146
717,22.7909
718,22.4228
719,22.0504
720,21.6737
721,21.3013
722,20.9333
723,20.5523
724,20.1928
725,19.8419
726,19.5125
727,19.1961
728,18.8925
729,18.6104
730,18.3498
731,18.0935
732,17.8717
733,17.6799
734,17.5182
735,17.3866
736,17.2808
737,17.2095
738,17.1725
739,17.1566
740,17.1841
741,17.246
742,17.3423
743,17.4601
744,17.6124
745,17.799
746,17.9942
747,18.2238
748,18.4921
749,18.7777
750,19.0972
751,19.4429
752,19.8101
753,20.1945
754,20.5617
755,20.9419
756,21.3263
757,21.7107
758,22.1033
759,22.4963
760,22.8764
761,23.2393
762,23.6195
763,23.9953
764,24.3582
765,24.6609
766,24.9288
767,25.1799
768,25.4397
769,25.6306
770,25.8215
771,25.9608
772,26.0571
773,26.132
774,26.1724
775,26.1827
776,26.1586
777,26.0872
778,26.0025
779,25.8753
780,25.7222
781,25.539
782,25.3257
783,25.0909
784,24.7873
785,24.4795
786,24.1587
787,23.8465
788,23.487
789,23.1405
790,22.7724
791,22.3742
792,21.9674
793,21.5864
794,21.2011
795,20.8159
796,20.4392
797,20.084
798,19.7331
799,19.3952
800,19.0658
801,18.7665
802,18.4758
803,18.2066
804,17.9503
805,17.7586
806,17.5754
807,17.4223
808,17.3122
