Sampleid,Distance
461,23.0768
462,23.3322
463,23.5786
464,23.7953
465,24.0723
466,24.2589
467,24.4455
468,24.5805
469,24.7413
470,24.8334
471,24.8996
472,24.9486
473,24.9718
474,24.9692
475,24.9146
476,24.8346
477,24.759
478,24.6489
479,24.4184
480,24.2782
481,24.0736
482,23.9076
483,23.7158
484,23.5111
485,23.2892
486,23.0587
487,22.8283
488,22.5763
489,22.3114
490,22.0551
491,21.7946
492,21.5082
493,21.2347
494,20.9655
495,20.692
496,20.4271
497,20.158
498,19.9103
499,19.6927
500,19.4923
501,19.3091
502,19.1384
503,18.9897
504,18.8495
505,18.7523
506,18.6465
507,18.5665
508,18.5167
509,18.4926
510,18.49
511,18.5132
512,18.5536
513,18.6199
514,18.7076
515,18.8039
516,18.9303
517,19.0735
518,19.2343
519,19.4123
520,19.6033
521,19.8071
522,20.0152
523,20.2405
524,20.4787
525,20.7213
526,20.9767
527,21.2317
528,21.4828
529,21.7382
530,21.9807
531,22.2233
532,22.4658
533,22.6954
534,22.9164
535,23.1245
536,23.3155
537,23.4801
538,23.6496
539,23.7932
540,23.9282
541,24.0331
542,24.1294
543,24.2129
544,24.2705
545,24.2894
546,24.304
547,24.3057
548,24.2817
549,24.2361
550,24.1471
551,24.0499
552,23.9269
553,23.7695
554,23.6208
555,23.4333
556,23.2372
557,23.0454
558,22.8106
559,22.5845
560,22.3669
561,22.1278
562,21.8801
563,21.6582
564,21.4235
565,21.1715
566,20.9238
567,20.689
568,20.4413
569,20.2066
570,19.9761
571,19.7714
572,19.571
573,19.3878
574,19.2348
575,19.1032
576,18.9712
577,18.8869
578,18.8155
579,18.7484
580,18.7114
581,18.6917
582,18.6934
583,18.6951
584,18.7398
585,18.806
586,18.8981
587,19.0073
588,19.1337
589,19.2859
590,19.4506
591,19.6286
592,19.8282
593,20.0363
594,20.2659
595,20.4998
596,20.7337
597,20.9806
598,21.2188
599,21.4742
600,21.7249
601,21.976
602,22.2357
603,22.4869
604,22.7251
605,22.9633
606,23.18
607,23.3924
608,23.5877
609,23.7786
610,23.939
611,24.0912
612,24.2133
613,24.3225
614,24.3973
615,24.4593
616,24.4954
617,24.5186
618,24.5246
619,24.5005
620,24.4593
621,24.3836
622,24.295
623,24.1849
624,24.04
625,23.8826
626,23.6994
627,23.5163
628,23.3073
629,23.0811
630,22.8463
631,22.6244
632,22.3811
633,22.1377
634,21.8857
635,21.6294
636,21.3731
637,21.1083
638,20.8563
639,20.6086
640,20.3695
641,20.1348
642,19.9086
643,19.6996
644,19.4863
645,19.3031
646,19.1286
647,18.9798
648,18.8439
649,18.7295
650,18.6409
651,18.5648
652,18.502
653,18.4737
654,18.4711
655,18.4857
656,18.5261
657,18.5837
658,18.6672
659,18.7592
660,18.877
661,19.0206
662,19.1814
663,19.3638
664,19.5457
665,19.7538
666,19.9791
667,20.1958
668,20.4383
669,20.6938
670,20.975
671,21.2605
672,21.5159
673,21.8139
674,22.0779
675,22.3204
676,22.563
677,22.8098
678,23.0351
679,23.2518
680,23.4556
681,23.6509
682,23.816
683,23.9764
684,24.1114
685,24.2335
686,24.3384
687,24.4261
688,24.4795
689,24.5199
690,24.5216
691,24.519
692,24.495
693,24.4451
694,24.3608
695,24.2636
696,24.1621
697,24.0176
698,23.8641
699,23.6896
700,23.5451
701,23.4221
702,23.1787
703,23.0127
704,22.7866
