Sample,Distance
0,22.01
1,22.7857
2,23.5829
3,23.8383
4,24.1707
5,24.6368
6,25.0901
7,25.5089
8,25.8976
9,26.282
10,26.6407
11,26.9692
12,27.2633
13,27.5187
14,27.6666
15,27.9044
16,28.0652
17,28.1186
18,28.0902
19,28.2338
20,28.1151
21,27.9233
22,27.6671
23,27.3463
24,26.9739
25,26.3392
26,25.9152
27,25.4612
28,24.9813
29,24.5319
30,24.237
31,23.6066
32,23.002
33,22.6597
34,22.0895
35,21.3173
36,20.5622
37,20.0049
38,19.5078
39,19.0881
40,18.8147
41,18.223
42,17.4808
43,16.8074
44,16.3834
45,16.0239
46,15.9827
47,15.8511
48,15.8356
49,15.5879
50,15.5896
51,15.4108
52,15.5759
53,15.8829
54,16.0351
55,16.3765
56,15.9827
57,16.0618
58,15.784
59,15.8588
60,15.9981
61,16.331
62,16.7455
63,17.1897
64,17.6644
65,18.1692
66,18.6998
67,19.2391
68,19.7826
69,20.3519
70,20.9255
71,21.4948
72,22.068
73,22.6416
74,23.211
75,23.7717
76,24.3066
77,24.863
78,25.3721
79,25.8512
80,26.2696
81,26.6411
82,26.9653
83,27.2465
84,27.4675
85,27.6542
86,27.815
87,27.9156
88,27.9646
89,27.9577
90,27.8993
91,27.7806
92,27.6318
93,27.44
94,27.2095
95,26.9361
96,26.6239
97,26.2687
98,25.8791
99,25.4465
100,24.9839
101,24.4954
102,23.9854
103,23.6302
104,23.0987
105,22.7522
106,22.2121
107,21.5817
108,20.8524
109,20.1962
110,19.5874
111,18.9359
112,18.3141
113,17.7955
114,17.2942
115,16.9175
116,16.4849
117,16.0996
118,15.7573
119,15.4581
120,15.4254
121,15.2551
122,15.1579
123,15.0263
124,14.9679
125,14.9696
126,14.9928
127,15.1063
128,15.2156
129,15.3716
130,15.3433
131,15.5987
132,15.8842
133,16.4664
134,16.9368
135,17.4331
136,17.8992
137,18.4126
138,18.9991
139,19.5551
140,20.1244
141,20.4444
142,21.0094
143,21.5228
144,21.9545
145,22.5238
146,23.0802
147,23.6238
148,24.1411
149,24.6373
150,25.112
151,25.5609
152,25.9711
153,26.3556
154,26.7099
155,27.0298
156,27.2981
157,27.5191
158,27.6843
159,27.8021
160,27.8726
161,27.8997
162,27.8799
163,27.8085
164,27.7027
165,27.5454
166,27.388
167,27.2177
168,26.9528
169,26.6062
170,26.1995
171,25.7454
172,25.2788
173,24.6399
174,24.1213
175,23.5726
176,23.0196
177,22.4709
178,21.9137
179,21.3521
180,20.8034
181,20.2504
182,19.6888
183,19.166
184,18.6517
185,18.1503
186,17.6833
187,17.2249
188,16.7322
189,16.291
190,15.9401
191,15.6451
192,15.406
193,15.5368
194,15.3837
195,15.5359
196,15.5462
197,15.5393
198,15.5239
199,15.4439
200,15.4542
201,15.5505
202,15.5264
203,15.7905
204,16.1018
205,16.4432
206,16.8319
207,17.2593
208,17.7207
209,18.1998
210,18.7046
211,19.2223
212,19.7443
213,20.2835
214,20.8357
215,21.3878
216,21.9442
217,22.5002
218,23.1727
219,23.7678
220,24.2726
221,24.7603
222,25.2221
223,25.8774
224,26.3435
225,26.7146
226,27.0431
227,27.3114
228,27.5454
229,27.6374
230,27.6348
231,27.744
232,27.7801
233,27.769
234,27.6761
235,27.5703
236,27.3914
237,27.1394
238,26.909
239,26.657
240,26.448
241,26.1401
242,25.8064
243,25.4255
244,25.0144
245,24.5388
246,24.2954
247,23.7983
248,23.2626
249,22.701
250,21.9803
251,21.3327
252,20.5695
253,19.9649
254,19.4119
255,18.8847
256,18.3834
257,17.9121
258,17.458
259,17.0512
260,16.6702
261,16.3323
262,16.0373
263,15.7552
264,15.4989
265,15.3544
266,15.4465
267,15.5686
268,15.824
269,15.9504
270,15.9736
271,15.9926
272,16.1104
