Motion Through Fluids Experiment Mon, Mar 09, 2020 3:56 PM
Time(sec)	Position(mm)
0.003	24.185
0.103	35.120
0.153	40.587
0.204	46.055
0.253	50.975
0.304	56.989
0.353	62.457
0.403	67.924
0.453	73.938
0.503	79.953
0.553	85.967
0.603	91.981
0.653	97.995
0.703	103.463
0.753	109.477
0.803	115.491
0.853	120.958
0.903	126.973
0.953	132.440
1.003	138.454
1.053	143.922
1.103	149.936
1.153	155.950
1.203	161.964
1.253	167.978
1.303	173.992
1.353	180.007
1.403	186.021
1.454	192.035
1.503	197.502
1.553	203.517
1.603	209.531
1.653	215.545
1.703	221.559
1.753	227.573
1.803	233.588
1.853	239.055
1.903	245.069
1.953	251.083
2.003	0.000
2.053	0.000
2.103	0.000
2.153	0.000
2.203	0.000
2.253	0.000
2.303	0.000
2.353	0.000
2.403	0.000
2.453	0.000
2.503	0.000
2.553	0.000
2.603	0.000
2.653	0.000
2.703	0.000
2.753	0.000
2.803	0.000
2.853	0.000
2.903	0.000
2.953	0.000
3.003	0.000
3.053	0.000
3.103	0.000
3.154	0.000
3.203	0.000
3.253	0.000
3.303	0.000
3.353	0.000
3.403	0.000
3.453	0.000
3.503	0.000
3.553	0.000
3.603	0.000
3.653	0.000
3.703	0.000
3.753	0.000
3.803	0.000
3.853	0.000
3.903	0.000
3.953	0.000
4.003	0.000
