Motion Through Fluids Experiment Fri, Mar 13, 2020 10:12 AM
Time(sec)	Position(mm)
0.030	45.508
0.080	50.975
0.130	56.443
0.180	61.910
0.230	67.924
0.280	73.392
0.330	79.406
0.380	85.420
0.430	91.981
0.480	97.995
0.530	104.009
0.580	110.570
0.630	116.584
0.680	122.599
0.730	128.613
0.780	134.627
0.830	140.641
0.880	147.202
0.930	153.216
0.980	159.230
1.030	165.245
1.080	171.259
1.130	177.273
1.180	183.834
1.230	189.848
1.280	196.409
1.330	202.423
1.380	208.437
1.430	214.452
1.480	220.466
1.530	227.027
1.580	233.041
1.630	239.602
1.680	245.616
1.730	252.177
1.780	0.000
1.830	0.000
1.880	0.000
1.930	0.000
1.980	0.000
2.030	0.000
2.080	0.000
2.130	0.000
2.180	0.000
2.230	0.000
2.280	0.000
2.330	0.000
2.380	0.000
2.431	0.000
2.480	0.000
2.530	0.000
2.580	0.000
2.630	0.000
2.681	0.000
2.730	0.000
2.780	0.000
2.830	0.000
2.881	0.000
2.930	0.000
2.980	0.000
3.030	0.000
3.080	0.000
3.130	0.000
3.180	0.000
3.230	0.000
3.280	0.000
3.330	0.000
3.380	0.000
3.430	0.000
3.480	0.000
3.530	0.000
3.580	0.000
3.630	0.000
3.680	0.000
3.730	0.000
3.780	0.000
3.830	0.000
3.880	0.000
3.930	0.000
3.980	0.000
