Motion Through Fluids Experiment Mon, Mar 09, 2020 3:55 PM
Time(sec)	Position(mm)
0.048	84.327
0.098	89.794
0.148	95.261
0.198	101.276
0.248	106.743
0.298	112.757
0.348	118.225
0.398	124.239
0.448	129.706
0.498	135.720
0.548	141.735
0.598	147.749
0.649	153.763
0.698	159.777
0.748	166.338
0.798	172.352
0.848	178.366
0.898	184.381
0.948	190.942
0.998	196.956
1.048	202.970
1.098	209.531
1.148	215.545
1.198	221.559
1.248	227.573
1.298	233.588
1.348	239.602
1.398	245.616
1.449	252.177
1.498	0.000
1.548	0.000
1.598	0.000
1.648	0.000
1.698	0.000
1.748	0.000
1.798	0.000
1.848	0.000
1.898	0.000
1.948	0.000
1.998	0.000
2.048	0.000
2.098	0.000
2.148	0.000
2.198	0.000
2.248	0.000
2.298	0.000
2.348	0.000
2.398	0.000
2.448	0.000
2.498	0.000
2.548	0.000
2.598	0.000
2.648	0.000
2.698	0.000
2.748	0.000
2.798	0.000
2.848	0.000
2.898	0.000
2.948	0.000
2.998	0.000
3.048	0.000
3.098	0.000
3.148	0.000
3.198	0.000
3.248	0.000
3.299	0.000
3.348	0.000
3.398	0.000
3.448	0.000
3.498	0.000
3.548	0.000
3.598	0.000
3.648	0.000
3.698	0.000
3.748	0.000
3.798	0.000
3.848	0.000
3.898	0.000
3.948	0.000
3.998	0.000
4.048	0.000
4.098	0.000
4.148	0.000
4.198	0.000
4.248	0.000
4.299	0.000
4.348	0.000
4.398	0.000
4.448	0.000
4.498	0.000
4.548	0.000
4.598	0.000
4.648	0.000
4.698	0.000
4.748	0.000
4.798	0.000
4.848	0.000
4.898	0.000
4.948	0.000
4.998	0.000
