Motion Through Fluids Experiment Fri, Mar 13, 2020 10:05 AM
Time(sec)	Position(mm)
0.032	1.768
0.082	1.222
0.132	0.675
0.182	14.343
0.232	19.264
0.282	24.185
0.332	29.105
0.382	34.026
0.432	38.947
0.482	43.868
0.532	48.788
0.582	54.256
0.632	59.723
0.682	65.191
0.732	70.658
0.782	76.672
0.833	82.140
0.882	87.607
0.932	93.621
0.982	99.089
1.032	105.103
1.082	110.570
1.132	115.491
1.182	122.052
1.233	128.066
1.283	133.533
1.332	139.548
1.382	145.562
1.433	151.576
1.482	156.497
1.532	162.511
1.582	168.525
1.632	174.539
1.682	180.553
1.732	186.568
1.782	192.035
1.832	198.049
1.882	204.063
1.932	209.531
1.982	215.545
2.032	221.559
2.082	227.573
2.132	233.588
2.182	239.602
2.232	245.616
2.282	251.630
2.332	0.000
2.382	0.000
2.432	0.000
2.482	0.000
2.532	0.000
2.582	0.000
2.632	0.000
2.682	0.000
2.732	0.000
2.783	0.000
2.832	0.000
2.882	0.000
2.932	0.000
2.982	0.000
3.032	0.000
3.082	0.000
3.132	0.000
3.182	0.000
3.232	0.000
3.283	0.000
3.332	0.000
3.382	0.000
3.432	0.000
3.482	0.000
3.532	0.000
3.582	0.000
3.632	0.000
3.682	0.000
3.732	0.000
3.782	0.000
3.832	0.000
3.882	0.000
3.932	0.000
3.982	0.000
