Motion Through Fluids Experiment Fri, Mar 13, 2020 10:06 AM
Time(sec)	Position(mm)
0.008	3.409
0.108	2.315
0.208	1.768
0.258	8.329
0.308	12.703
0.359	17.624
0.458	25.825
0.508	30.746
0.559	35.666
0.608	40.587
0.658	45.508
0.708	50.975
0.758	56.443
0.809	61.363
0.858	66.831
0.908	72.298
0.958	77.766
1.008	83.233
1.058	89.247
1.108	94.715
1.158	100.182
1.208	105.650
1.258	111.117
1.308	116.584
1.358	122.052
1.408	127.519
1.458	132.987
1.508	138.454
1.558	143.922
1.608	149.936
1.658	155.403
1.708	160.871
1.758	166.338
1.808	172.352
1.858	177.820
1.908	183.287
1.958	188.755
2.008	194.769
2.058	200.236
2.108	205.704
2.158	211.718
2.208	217.185
2.259	222.653
2.308	228.667
2.358	234.134
2.408	239.602
2.458	245.616
2.508	251.083
2.558	0.000
2.608	0.000
2.658	0.000
2.708	0.000
2.758	0.000
2.808	0.000
2.858	0.000
2.908	0.000
2.958	0.000
3.008	0.000
3.058	0.000
3.108	0.000
3.208	0.000
3.308	0.000
3.358	0.000
3.409	0.000
3.458	0.000
3.508	0.000
3.558	0.000
3.608	0.000
3.658	0.000
3.708	0.000
3.759	0.000
3.808	0.000
3.858	0.000
3.908	0.000
3.958	0.000
4.008	0.000
4.058	0.000
4.108	0.000
4.158	0.000
4.208	0.000
