Motion Through Fluids Experiment Fri, Mar 13, 2020 10:07 AM
Time(sec)	Position(mm)
0.045	0.000
0.095	0.000
0.145	0.000
0.195	0.000
0.246	10.516
0.295	15.984
0.345	19.264
0.395	22.545
0.445	25.825
0.495	29.652
0.545	33.479
0.595	37.307
0.645	41.681
0.695	46.055
0.745	50.428
0.795	55.349
0.845	60.270
0.895	65.191
0.945	70.111
0.995	75.579
1.045	81.046
1.095	86.514
1.145	91.981
1.195	97.448
1.245	102.916
1.295	107.837
1.345	113.851
1.396	119.318
1.445	124.786
1.495	130.253
1.545	136.267
1.595	141.735
1.645	147.202
1.695	153.216
1.745	159.230
1.795	164.698
1.846	170.165
1.895	176.179
1.945	182.194
1.995	188.208
2.045	194.222
2.095	199.689
2.146	205.704
2.195	211.718
2.245	217.732
2.295	223.746
2.345	229.214
2.395	235.228
2.445	240.695
2.496	246.163
2.545	251.630
2.595	0.000
2.645	0.000
2.695	0.000
2.746	0.000
2.795	0.000
2.845	0.000
2.895	0.000
2.945	0.000
2.995	0.000
3.045	0.000
3.095	0.000
3.145	0.000
3.196	0.000
3.245	0.000
3.295	0.000
3.345	0.000
3.395	0.000
3.445	0.000
3.495	0.000
3.545	0.000
3.595	0.000
3.645	0.000
3.695	0.000
3.746	0.000
3.795	0.000
3.845	0.000
3.895	0.000
3.945	0.000
3.995	0.000
