Motion Through Fluids Experiment Fri, Mar 13, 2020 10:07 AM
Time(sec)	Position(mm)
0.019	74.485
0.119	85.420
0.169	90.887
0.219	95.808
0.269	101.276
0.319	106.743
0.369	112.210
0.419	117.678
0.469	123.145
0.519	128.613
0.569	134.627
0.619	140.094
0.669	145.562
0.719	151.029
0.769	156.497
0.819	162.511
0.869	167.978
0.919	173.446
0.969	178.913
1.019	184.927
1.069	190.395
1.119	195.862
1.169	201.330
1.219	207.344
1.269	212.811
1.319	218.825
1.369	224.293
1.419	230.307
1.469	235.775
1.519	241.242
1.569	247.256
1.619	252.724
1.669	0.000
1.719	0.000
1.769	0.000
1.819	0.000
1.869	0.000
1.919	0.000
1.969	0.000
2.020	0.000
2.069	0.000
2.119	0.000
2.169	0.000
2.219	0.000
2.269	0.000
2.319	0.000
2.369	0.000
2.419	0.000
2.469	0.000
2.519	0.000
2.569	0.000
2.620	0.000
2.669	0.000
2.719	0.000
2.769	0.000
2.819	0.000
2.869	0.000
2.919	0.000
2.969	0.000
3.019	0.000
3.069	0.000
3.119	0.000
3.169	0.000
3.219	0.000
3.269	0.000
3.319	0.000
3.369	0.000
3.419	0.000
3.469	0.000
3.519	0.000
3.569	0.000
3.619	0.000
3.669	0.000
3.719	0.000
3.769	0.000
3.819	0.000
3.869	0.000
3.919	0.000
3.969	0.000
4.019	0.000
