Motion Through Fluids Experiment Mon, Mar 09, 2020 3:38 PM
Time(sec)	Position(mm)
0.003	37.853
0.103	44.414
0.153	47.695
0.203	51.522
0.253	54.802
0.303	58.630
0.353	61.910
0.403	65.737
0.453	69.018
0.504	72.845
0.554	76.125
0.603	79.953
0.654	83.233
0.703	87.060
0.754	90.341
0.803	94.168
0.853	97.448
0.903	101.276
0.953	104.556
1.003	108.383
1.053	111.664
1.103	115.491
1.153	118.771
1.203	122.599
1.253	125.879
1.303	129.706
1.353	132.987
1.403	136.814
1.453	140.641
1.503	143.922
1.553	147.749
1.603	151.029
1.653	154.856
1.703	158.137
1.753	161.417
1.803	165.245
1.853	168.525
1.904	172.352
1.953	175.633
2.003	179.460
2.053	182.740
2.103	186.568
2.153	189.848
2.203	193.675
2.253	196.956
2.303	200.783
2.353	204.063
2.403	207.891
2.453	211.171
2.503	214.998
2.553	218.279
2.603	222.106
2.653	225.386
2.703	229.214
2.753	232.494
2.803	236.321
2.853	239.602
2.903	243.429
2.953	247.256
3.003	250.537
3.053	254.364
3.103	0.000
3.153	0.000
3.203	0.000
3.253	0.000
3.303	0.000
3.353	0.000
3.403	0.000
3.453	0.000
3.503	0.000
3.553	0.000
3.603	0.000
3.654	0.000
3.703	0.000
3.753	0.000
3.803	0.000
3.853	0.000
3.903	0.000
3.953	0.000
4.004	0.000
4.053	0.000
4.103	0.000
4.154	0.000
4.203	0.000
4.253	0.000
4.303	0.000
4.353	0.000
4.403	0.000
4.454	0.000
4.503	0.000
4.553	0.000
4.603	0.000
4.653	0.000
4.703	0.000
4.753	0.000
4.803	0.000
4.853	0.000
4.903	0.000
4.954	0.000
5.003	0.000
