Motion Through Fluids Experiment Mon, Mar 09, 2020 3:31 PM
Time(sec)	Position(mm)
0.044	31.292
0.144	38.400
0.244	44.961
0.294	48.241
0.344	52.069
0.394	55.349
0.444	58.630
0.494	62.457
0.544	65.737
0.594	69.564
0.644	72.845
0.694	76.672
0.744	79.953
0.794	83.233
0.844	87.060
0.894	90.341
0.944	94.168
0.994	97.448
1.044	100.729
1.094	104.556
1.144	107.837
1.194	111.117
1.244	114.944
1.294	118.225
1.344	121.505
1.394	125.332
1.444	128.613
1.494	132.440
1.544	135.720
1.594	139.548
1.644	142.828
1.694	146.109
1.744	149.936
1.794	153.216
1.845	157.043
1.894	160.324
1.944	164.151
1.994	167.432
2.044	171.259
2.094	174.539
2.144	177.820
2.194	181.647
2.244	184.927
2.294	188.755
2.344	192.035
2.395	195.862
2.444	198.596
2.494	202.423
2.545	206.250
2.594	209.531
2.644	212.811
2.694	216.638
2.744	219.919
2.794	223.199
2.844	227.027
2.894	230.854
2.944	234.134
2.994	237.962
3.044	241.242
3.095	244.522
3.144	248.350
3.194	252.177
3.244	255.457
3.294	0.000
3.344	0.000
3.394	0.000
3.444	0.000
3.494	0.000
3.544	0.000
3.594	0.000
3.644	0.000
3.694	0.000
3.744	0.000
3.794	0.000
3.844	0.000
3.894	0.000
3.944	0.000
3.994	0.000
4.044	0.000
4.094	0.000
4.144	0.000
4.194	0.000
4.244	0.000
4.294	0.000
4.344	0.000
4.394	0.000
4.444	0.000
4.494	0.000
4.544	0.000
4.594	0.000
4.644	0.000
4.694	0.000
4.744	0.000
4.794	0.000
4.844	0.000
4.894	0.000
4.944	0.000
4.994	0.000
5.044	0.000
5.094	0.000
5.144	0.000
5.194	0.000
5.244	0.000
5.294	0.000
5.344	0.000
5.394	0.000
5.444	0.000
5.494	0.000
5.545	0.000
5.594	0.000
5.644	0.000
5.694	0.000
5.744	0.000
5.794	0.000
5.844	0.000
5.894	0.000
5.944	0.000
5.994	0.000
6.044	0.000
6.094	0.000
