Motion Through Fluids Experiment Mon, Mar 09, 2020 3:37 PM
Time(sec)	Position(mm)
0.002	63.550
0.102	71.205
0.152	75.032
0.202	78.312
0.252	82.140
0.303	85.420
0.352	89.247
0.402	92.528
0.452	96.355
0.502	100.182
0.552	103.463
0.602	107.290
0.652	110.570
0.702	113.851
0.752	117.678
0.802	120.958
0.852	124.786
0.902	128.613
0.952	131.893
1.002	135.720
1.052	139.001
1.102	142.828
1.152	146.109
1.202	149.936
1.252	153.216
1.302	157.043
1.352	160.871
1.402	164.151
1.452	167.978
1.502	171.259
1.552	175.086
1.602	178.913
1.652	182.194
1.702	186.021
1.752	189.301
1.802	193.129
1.852	196.956
1.902	200.236
1.952	204.063
2.002	207.891
2.052	211.171
2.102	214.998
2.152	218.279
2.202	222.106
2.252	225.386
2.302	229.214
2.352	232.494
2.402	236.321
2.452	240.148
2.502	243.429
2.552	247.256
2.602	251.083
2.652	254.364
2.702	0.000
2.752	0.000
2.803	0.000
2.852	0.000
2.902	0.000
2.952	0.000
3.002	0.000
3.052	0.000
3.102	0.000
3.152	0.000
3.202	0.000
3.252	0.000
3.302	0.000
3.352	0.000
3.402	0.000
3.452	0.000
3.502	0.000
3.552	0.000
3.602	0.000
3.652	0.000
3.702	0.000
3.752	0.000
3.802	0.000
3.852	0.000
3.902	0.000
3.952	0.000
4.002	0.000
4.053	0.000
4.103	0.000
4.152	0.000
4.202	0.000
4.252	0.000
4.302	0.000
4.352	0.000
4.402	0.000
4.452	0.000
4.502	0.000
4.552	0.000
4.602	0.000
4.652	0.000
4.702	0.000
4.752	0.000
4.802	0.000
4.852	0.000
4.902	0.000
4.952	0.000
5.002	0.000
5.052	0.000
5.102	0.000
5.152	0.000
5.202	0.000
5.252	0.000
5.302	0.000
5.352	0.000
5.402	0.000
5.452	0.000
5.502	0.000
5.552	0.000
5.603	0.000
5.652	0.000
5.702	0.000
5.752	0.000
5.802	0.000
5.852	0.000
5.902	0.000
5.952	0.000
6.002	0.000
