Motion Through Fluids Experiment Mon, Mar 09, 2020 3:34 PM
Time(sec)	Position(mm)
0.020	35.666
0.120	42.227
0.170	45.508
0.220	48.241
0.270	52.069
0.320	54.802
0.370	58.083
0.420	61.363
0.470	64.644
0.520	67.378
0.570	70.658
0.620	73.938
0.671	77.219
0.720	80.499
0.770	83.233
0.820	86.514
0.870	89.794
0.920	93.074
0.970	96.355
1.020	99.635
1.070	102.369
1.120	105.650
1.170	108.930
1.220	112.210
1.270	115.491
1.320	118.771
1.370	122.052
1.420	124.786
1.470	127.519
1.521	131.347
1.570	134.080
1.620	137.361
1.670	140.641
1.720	143.922
1.770	147.202
1.820	149.936
1.870	153.216
1.920	156.497
1.970	159.777
2.020	163.058
2.070	166.338
2.120	169.619
2.170	172.899
2.220	176.179
2.270	178.913
2.320	182.194
2.370	185.474
2.420	188.755
2.470	192.035
2.520	195.316
2.570	198.596
2.620	201.876
2.670	205.157
2.720	208.437
2.770	211.718
2.820	214.998
2.870	217.732
2.920	221.012
2.970	224.293
3.022	227.573
3.070	230.854
3.120	234.134
3.170	237.415
3.220	240.695
3.270	243.976
3.320	247.256
3.370	250.537
3.420	253.817
3.470	0.000
3.520	0.000
3.570	0.000
3.621	0.000
3.670	0.000
3.720	0.000
3.770	0.000
3.820	0.000
3.870	0.000
3.920	0.000
3.971	0.000
4.021	0.000
4.070	0.000
4.120	0.000
4.170	0.000
4.220	0.000
4.270	0.000
4.320	0.000
4.370	0.000
4.420	0.000
4.470	0.000
4.520	0.000
4.570	0.000
4.620	0.000
4.670	0.000
4.720	0.000
4.770	0.000
4.820	0.000
4.871	0.000
4.920	0.000
4.970	0.000
5.022	0.000
5.070	0.000
5.120	0.000
5.170	0.000
5.220	0.000
5.270	0.000
5.320	0.000
5.370	0.000
5.420	0.000
5.470	0.000
5.520	0.000
5.570	0.000
5.620	0.000
5.670	0.000
5.720	0.000
5.770	0.000
5.820	0.000
5.870	0.000
5.920	0.000
5.970	0.000
6.020	0.000
