Motion Through Fluids Experiment Mon, Mar 09, 2020 4:02 PM
Time(sec)	Position(mm)
0.043	29.652
0.093	36.213
0.143	42.774
0.193	48.788
0.243	54.802
0.293	60.817
0.343	66.831
0.393	73.392
0.443	79.953
0.493	86.514
0.543	93.621
0.593	100.182
0.643	107.290
0.694	113.851
0.743	120.958
0.794	128.066
0.843	135.174
0.893	141.735
0.943	148.842
0.993	156.497
1.043	163.058
1.093	170.165
1.143	177.273
1.193	184.381
1.243	191.488
1.293	198.596
1.343	205.704
1.393	213.358
1.443	220.466
1.493	227.573
1.543	235.228
1.593	242.335
1.643	249.990
1.693	254.911
1.743	0.000
1.793	0.000
1.843	0.000
1.893	0.000
1.943	0.000
1.994	0.000
2.044	0.000
2.093	0.000
2.143	0.000
2.193	0.000
2.243	0.000
2.293	0.000
2.343	0.000
2.393	0.000
2.443	0.000
2.493	0.000
2.543	0.000
2.593	0.000
2.643	0.000
2.693	0.000
2.743	0.000
2.793	0.000
2.843	0.000
2.893	0.000
2.943	0.000
2.993	0.000
