Motion Through Fluids Experiment Fri, Mar 13, 2020 10:15 AM
Time(sec)	Position(mm)
0.028	1.222
0.128	1.222
0.178	1.222
0.228	1.768
0.278	5.595
0.328	4.502
0.378	1.768
0.428	39.494
0.478	46.055
0.528	52.615
0.578	58.630
0.628	64.644
0.678	71.205
0.728	77.766
0.778	84.327
0.828	91.434
0.878	97.995
0.928	105.103
0.978	112.210
1.028	118.771
1.078	125.879
1.128	133.533
1.178	140.641
1.228	147.749
1.278	154.856
1.328	162.511
1.378	169.619
1.428	176.726
1.478	183.834
1.528	191.488
1.578	198.596
1.628	206.250
1.678	213.358
1.728	221.012
1.778	228.667
1.828	236.321
1.878	243.976
1.928	251.630
1.978	255.457
2.028	0.000
2.078	0.000
2.128	0.000
2.178	0.000
2.228	0.000
2.278	0.000
2.328	0.000
2.378	0.000
2.428	0.000
2.478	0.000
2.528	0.000
2.578	0.000
2.628	0.000
2.678	0.000
2.728	0.000
2.779	0.000
2.828	0.000
2.878	0.000
2.928	0.000
2.978	0.000
3.028	0.000
