Motion Through Fluids Experiment Fri, Mar 13, 2020 10:13 AM
Time(sec)	Position(mm)
0.023	6.689
0.073	3.409
0.123	6.142
0.173	8.329
0.273	3.409
0.373	21.451
0.473	32.386
0.523	38.947
0.573	44.961
0.623	51.522
0.673	57.536
0.723	64.097
0.773	70.658
0.823	77.766
0.873	84.873
0.923	91.981
0.973	99.089
1.023	106.743
1.073	114.397
1.123	121.505
1.174	129.160
1.223	136.267
1.273	143.375
1.323	151.029
1.373	158.137
1.424	165.791
1.474	172.899
1.523	180.553
1.573	188.208
1.623	195.316
1.673	202.970
1.723	210.078
1.773	217.732
1.823	224.840
1.873	232.494
1.923	239.602
1.973	247.256
2.023	253.817
2.073	0.000
2.123	0.000
2.173	0.000
2.224	0.000
2.273	0.000
2.323	0.000
2.373	0.000
2.423	0.000
2.473	0.000
2.523	0.000
2.573	0.000
2.624	0.000
2.674	0.000
2.723	0.000
2.773	0.000
2.823	0.000
2.873	0.000
2.923	0.000
2.973	0.000
3.023	0.000
3.073	0.000
3.123	0.000
