Motion Through Fluids Experiment Fri, Mar 13, 2020 9:36 AM
Time(sec)	Position(mm)
0.025	8.876
0.075	9.423
0.125	9.969
0.175	10.516
0.225	11.063
0.275	11.610
0.325	11.610
0.375	12.156
0.425	12.703
0.475	13.250
0.525	13.250
0.575	13.797
0.625	14.343
0.675	14.890
0.725	15.437
0.775	15.437
0.825	15.984
0.875	16.530
0.925	17.077
0.975	17.624
1.025	17.624
1.075	18.171
1.125	18.717
1.175	18.717
1.226	19.264
1.275	19.811
1.325	20.358
1.375	20.358
1.425	20.904
1.475	21.451
1.525	21.998
1.575	22.545
1.625	22.545
1.676	23.091
1.725	23.638
1.775	24.185
1.825	24.185
1.875	24.732
1.925	25.278
1.975	25.825
2.025	26.372
2.075	26.372
2.125	26.918
2.175	27.465
2.225	27.465
2.275	28.012
2.325	28.559
2.375	29.105
2.425	29.652
2.475	29.652
2.525	30.199
2.575	30.746
2.625	31.292
2.675	31.292
2.725	31.839
2.775	32.386
2.825	32.933
2.875	33.479
2.925	33.479
2.975	34.026
3.025	34.573
3.075	35.120
3.125	35.120
3.175	35.666
3.225	36.213
3.275	36.760
3.325	36.760
3.375	37.307
3.425	37.853
3.475	38.400
3.525	38.947
3.575	38.947
3.625	39.494
3.675	40.040
3.725	40.587
3.775	40.587
3.825	41.134
3.875	41.681
3.925	42.227
3.975	42.227
4.025	42.774
4.075	43.321
4.125	43.868
4.175	43.868
4.225	44.414
4.275	44.961
4.325	45.508
4.375	45.508
4.426	46.055
4.475	46.601
4.525	47.148
4.575	47.148
4.625	47.695
4.675	48.241
4.725	48.788
4.775	48.788
4.826	49.335
4.875	49.882
4.926	50.428
4.975	50.428
5.025	50.975
5.075	51.522
5.125	52.069
5.175	52.615
5.225	52.615
5.275	53.162
5.325	53.709
5.375	54.256
5.425	54.256
5.475	54.802
5.525	55.349
5.575	55.896
5.625	55.896
5.675	56.443
5.725	56.989
5.775	57.536
5.826	57.536
5.875	58.083
5.925	58.630
5.975	59.176
6.025	59.176
6.076	59.723
6.125	60.270
6.175	60.270
6.226	60.817
6.275	61.363
6.325	61.910
6.375	62.457
6.425	62.457
6.475	63.004
6.525	63.550
6.576	64.097
6.625	64.097
6.675	64.644
6.725	65.191
6.775	65.737
6.825	65.737
6.875	66.284
6.925	66.831
6.975	67.378
7.025	67.378
7.076	67.924
7.125	68.471
7.175	69.018
7.225	69.018
7.275	69.564
7.325	70.111
7.375	70.658
7.425	70.658
7.475	71.205
7.525	71.751
7.575	72.298
7.625	72.298
7.675	72.845
7.725	73.392
7.775	73.938
7.825	74.485
7.875	74.485
7.925	75.032
7.975	75.579
8.025	76.125
8.075	76.125
8.125	76.672
8.175	77.219
8.225	77.766
8.275	77.766
8.325	78.312
8.425	79.406
8.475	79.406
8.525	79.953
8.575	80.499
8.625	81.046
8.675	81.046
8.725	81.593
8.775	82.140
8.825	82.686
8.875	83.233
8.925	83.233
8.975	83.780
9.025	84.327
9.075	84.327
9.125	84.873
9.176	85.420
9.225	85.967
9.275	85.967
9.325	86.514
9.375	87.060
9.425	87.607
9.476	87.607
9.525	88.154
9.575	88.701
9.625	89.247
9.676	89.794
9.725	89.794
9.775	90.341
9.825	90.887
9.875	91.434
9.925	91.434
9.975	91.981
10.025	92.528
10.075	93.074
10.125	93.074
10.175	93.621
10.225	94.168
10.275	94.168
10.325	94.715
10.375	95.261
10.425	95.808
10.475	96.355
10.525	96.355
10.576	96.902
10.625	97.448
10.675	97.995
10.725	97.995
10.775	98.542
10.825	99.089
10.875	99.635
10.925	99.635
10.975	100.182
11.025	100.729
11.075	101.276
11.125	101.276
11.175	101.822
11.225	102.369
11.275	102.916
11.325	103.463
11.375	103.463
11.425	104.009
11.476	104.556
11.525	104.556
11.575	105.103
11.625	105.650
11.675	106.196
11.725	106.196
11.775	106.743
11.825	107.290
11.875	107.837
11.925	107.837
11.975	108.383
12.025	108.930
