Motion Through Fluids Experiment Fri, Mar 13, 2020 9:31 AM
Time(sec)	Position(mm)
0.032	4.502
0.082	4.502
0.132	4.502
0.182	5.049
0.233	5.049
0.282	5.049
0.332	5.595
0.382	5.595
0.432	6.142
0.482	6.142
0.532	6.689
0.582	6.689
0.632	6.689
0.683	7.236
0.732	7.236
0.782	7.236
0.833	7.782
0.882	8.329
0.932	8.329
0.982	8.329
1.032	8.329
1.082	8.876
1.132	8.876
1.182	8.876
1.232	9.423
1.282	9.423
1.332	9.423
1.382	9.969
1.432	9.969
1.482	9.969
1.532	10.516
1.582	10.516
1.632	11.063
1.682	11.063
1.732	11.063
1.782	11.610
1.832	11.610
1.882	11.610
1.932	11.610
1.982	12.156
2.032	12.156
2.082	12.703
2.132	12.703
2.182	13.250
2.232	13.250
2.282	13.250
2.332	13.250
2.382	13.797
2.432	13.797
2.483	13.797
2.532	14.343
2.582	14.343
2.632	14.890
2.682	14.890
2.732	14.890
2.782	15.437
2.832	15.437
2.882	15.437
2.932	15.984
2.982	15.984
3.032	15.984
3.082	16.530
3.132	16.530
3.182	17.077
3.232	17.077
3.282	17.077
3.332	17.077
3.382	17.624
3.432	17.624
3.482	18.171
3.532	18.171
3.582	18.171
3.632	18.717
3.682	18.717
3.732	18.717
3.782	18.717
3.832	19.264
3.883	19.264
3.932	19.811
3.982	19.811
4.032	19.811
4.082	20.358
4.132	20.358
4.182	20.358
4.232	20.904
4.282	20.904
4.332	20.904
4.382	21.451
4.432	21.451
4.482	21.451
4.532	21.998
4.582	21.998
4.632	22.545
4.682	22.545
4.732	22.545
4.782	23.091
4.832	23.091
4.882	23.091
4.932	23.091
4.982	23.638
5.032	23.638
5.082	23.638
5.132	24.185
5.182	24.185
5.232	24.732
5.282	24.732
5.332	24.732
5.382	24.732
5.432	25.278
5.482	25.278
5.532	25.825
5.582	25.825
5.632	25.825
5.682	26.372
5.732	26.372
5.782	26.372
5.832	26.918
5.882	26.918
5.932	26.918
5.982	27.465
6.032	27.465
6.082	27.465
6.132	28.012
6.182	28.012
6.232	28.012
6.282	28.559
6.332	28.559
6.382	28.559
6.432	29.105
6.482	29.105
6.532	29.652
6.582	29.652
6.632	29.652
6.682	29.652
6.732	30.199
6.782	30.199
6.832	30.746
6.882	30.746
6.932	30.746
6.982	31.292
7.032	31.292
7.082	31.292
7.132	31.839
7.182	31.839
7.232	31.839
7.282	32.386
7.332	32.386
7.382	32.386
7.432	32.933
7.482	32.933
7.532	32.933
7.582	33.479
7.632	33.479
7.682	33.479
7.732	34.026
7.782	34.026
7.832	34.026
7.882	34.573
7.932	34.573
7.982	34.573
8.032	35.120
8.082	35.120
8.132	35.666
8.182	35.666
8.232	35.666
8.282	35.666
8.332	36.213
8.382	36.213
8.432	36.213
8.482	36.760
8.532	36.760
8.582	37.307
8.632	37.307
8.682	37.307
8.732	37.853
8.782	37.853
8.832	37.853
8.882	38.400
8.932	38.400
8.982	38.400
9.032	38.947
9.082	38.947
9.132	38.947
9.182	39.494
9.232	39.494
9.282	39.494
9.332	40.040
9.382	40.040
9.432	40.040
9.482	40.587
9.532	40.587
9.582	40.587
9.632	41.134
9.682	41.134
9.732	41.134
9.782	41.681
9.832	41.681
9.882	42.227
9.932	42.227
9.982	42.227
10.032	42.227
10.082	42.774
10.132	42.774
10.182	43.321
10.232	43.321
10.282	43.321
10.332	43.868
10.382	43.868
10.432	43.868
10.482	44.414
10.532	44.414
10.582	44.414
10.632	44.961
10.682	44.961
10.732	44.961
10.782	45.508
10.832	45.508
10.882	45.508
10.932	46.055
10.982	46.055
11.032	46.055
11.082	46.601
11.132	46.601
11.182	46.601
11.232	47.148
11.282	47.148
11.332	47.148
11.382	47.695
11.432	47.695
11.482	47.695
11.532	48.241
11.582	48.241
11.632	48.788
11.682	48.788
11.732	48.788
11.782	49.335
11.832	49.335
11.882	49.335
11.932	49.882
11.982	49.882
