Motion Through Fluids Experiment Fri, Mar 13, 2020 9:57 AM
Time(sec)	Position(mm)
0.050	61.363
0.100	64.644
0.150	68.471
0.200	72.298
0.250	76.125
0.300	79.953
0.350	83.780
0.400	87.060
0.450	90.887
0.500	94.715
0.550	98.542
0.600	101.822
0.650	106.196
0.700	109.477
0.750	113.304
0.800	117.131
0.850	120.958
0.900	124.786
0.950	128.613
1.001	132.440
1.051	135.720
1.100	139.548
1.150	143.375
1.200	147.202
1.250	151.029
1.300	154.856
1.350	158.684
1.400	162.511
1.450	166.338
1.500	170.165
1.551	173.992
1.600	177.820
1.650	181.647
1.700	185.474
1.750	189.301
1.800	193.129
1.850	196.956
1.900	200.783
1.950	204.610
2.000	208.437
2.050	212.265
2.100	216.092
2.150	219.919
2.200	223.199
2.250	227.027
2.300	230.854
2.350	234.681
2.400	238.508
2.450	242.335
2.500	246.163
2.550	249.990
2.600	253.817
2.650	0.000
2.700	0.000
2.750	0.000
2.800	0.000
2.850	0.000
2.900	0.000
2.950	0.000
3.000	0.000
3.050	0.000
3.100	0.000
3.150	0.000
3.200	0.000
3.251	0.000
3.300	0.000
3.351	0.000
3.400	0.000
3.450	0.000
3.500	0.000
3.550	0.000
3.600	0.000
3.650	0.000
3.700	0.000
3.750	0.000
3.800	0.000
3.851	0.000
3.900	0.000
3.950	0.000
4.000	0.000
4.050	0.000
4.100	0.000
4.150	0.000
4.200	0.000
4.250	0.000
4.300	0.000
4.350	0.000
4.400	0.000
4.450	0.000
4.500	0.000
4.550	0.000
4.600	0.000
4.650	0.000
4.700	0.000
4.750	0.000
4.800	0.000
4.850	0.000
4.900	0.000
4.951	0.000
5.000	0.000
