Motion Through Fluids Experiment Fri, Mar 13, 2020 9:57 AM
Time(sec)	Position(mm)
0.028	43.868
0.078	47.148
0.128	49.882
0.178	53.162
0.228	56.443
0.278	59.723
0.328	63.004
0.378	66.284
0.428	69.564
0.478	72.845
0.528	76.672
0.578	79.953
0.628	83.233
0.678	86.514
0.728	89.794
0.778	93.074
0.828	96.902
0.878	100.182
0.929	103.463
0.978	106.743
1.028	110.024
1.078	113.851
1.128	116.584
1.178	120.412
1.228	123.692
1.278	126.973
1.328	130.253
1.378	133.533
1.428	136.814
1.478	140.094
1.528	143.922
1.578	147.202
1.628	150.483
1.678	153.763
1.729	157.043
1.778	160.324
1.828	164.151
1.878	167.432
1.928	170.712
1.978	173.992
2.028	177.273
2.078	181.100
2.128	184.381
2.178	187.661
2.228	190.942
2.278	194.222
2.328	197.502
2.378	201.330
2.428	204.610
2.478	207.891
2.528	211.171
2.578	214.452
2.628	217.732
2.678	221.559
2.728	224.840
2.778	228.120
2.828	231.401
2.878	234.134
2.928	237.962
2.978	241.242
3.028	244.522
3.078	247.803
3.128	251.630
3.178	254.911
3.228	0.000
3.278	0.000
3.328	0.000
3.378	0.000
3.428	0.000
3.478	0.000
3.528	0.000
3.579	0.000
3.628	0.000
3.678	0.000
3.728	0.000
3.778	0.000
3.828	0.000
3.878	0.000
3.928	0.000
3.978	0.000
4.028	0.000
4.078	0.000
4.128	0.000
4.178	0.000
4.228	0.000
4.278	0.000
4.328	0.000
4.378	0.000
4.428	0.000
4.478	0.000
4.528	0.000
4.578	0.000
4.628	0.000
4.678	0.000
4.728	0.000
4.778	0.000
4.828	0.000
4.878	0.000
4.928	0.000
4.978	0.000
