Motion Through Fluids Experiment Fri, Mar 13, 2020 9:58 AM
Time(sec)	Position(mm)
0.033	34.573
0.083	38.400
0.133	41.681
0.183	44.961
0.233	48.788
0.283	52.069
0.334	55.896
0.384	59.176
0.433	63.004
0.483	66.831
0.533	70.111
0.583	73.938
0.633	77.219
0.683	81.046
0.733	84.327
0.783	88.154
0.833	91.434
0.884	95.261
0.933	98.542
0.983	102.369
1.033	106.196
1.083	109.477
1.133	113.304
1.183	116.584
1.233	120.412
1.283	123.692
1.333	127.519
1.383	131.347
1.433	134.627
1.483	137.907
1.533	141.735
1.583	145.562
1.633	148.842
1.683	152.670
1.733	155.950
1.783	159.777
1.833	163.604
1.883	166.885
1.934	170.712
1.983	173.992
2.033	177.273
2.083	181.100
2.133	184.927
2.183	188.208
2.233	191.488
2.283	195.316
2.333	198.596
2.383	202.423
2.433	206.250
2.483	209.531
2.533	212.811
2.583	216.638
2.634	220.466
2.683	224.293
2.733	227.573
2.783	230.854
2.833	234.681
2.883	238.508
2.933	242.335
2.983	245.616
3.033	248.896
3.083	252.724
3.133	0.000
3.183	0.000
3.234	0.000
3.283	0.000
3.333	0.000
3.383	0.000
3.433	0.000
3.483	0.000
3.533	0.000
3.584	0.000
3.633	0.000
3.683	0.000
3.733	0.000
3.783	0.000
3.833	0.000
3.883	0.000
3.933	0.000
3.983	0.000
4.033	0.000
4.083	0.000
4.133	0.000
4.183	0.000
4.233	0.000
4.283	0.000
4.333	0.000
4.383	0.000
4.433	0.000
4.483	0.000
4.533	0.000
4.583	0.000
4.633	0.000
4.683	0.000
4.733	0.000
4.783	0.000
4.833	0.000
4.883	0.000
4.933	0.000
4.983	0.000
