Motion Through Fluids Experiment Mon, Mar 09, 2020 3:49 PM
Time(sec)	Position(mm)
0.027	54.256
0.077	59.723
0.127	65.191
0.177	70.658
0.227	76.125
0.277	81.593
0.327	87.060
0.377	92.528
0.427	97.448
0.477	102.916
0.527	108.383
0.577	113.851
0.627	119.318
0.677	124.239
0.727	130.253
0.777	135.174
0.827	140.641
0.877	146.109
0.927	151.576
0.977	157.043
1.027	162.511
1.077	167.432
1.127	172.352
1.177	177.820
1.227	183.287
1.277	188.755
1.327	194.222
1.378	199.689
1.427	205.157
1.477	210.624
1.527	215.545
1.577	221.012
1.627	226.480
1.677	231.947
1.728	237.415
1.777	242.882
1.827	248.350
1.877	253.270
1.927	0.000
1.977	0.000
2.028	0.000
2.077	0.000
2.127	0.000
2.177	0.000
2.228	0.000
2.277	0.000
2.327	0.000
2.377	0.000
2.427	0.000
2.477	0.000
2.527	0.000
2.577	0.000
2.627	0.000
2.677	0.000
2.727	0.000
2.778	0.000
2.827	0.000
2.877	0.000
2.927	0.000
2.977	0.000
3.027	0.000
3.077	0.000
3.127	0.000
3.177	0.000
3.227	0.000
3.277	0.000
3.327	0.000
3.377	0.000
3.427	0.000
3.477	0.000
3.527	0.000
3.577	0.000
3.627	0.000
3.677	0.000
3.727	0.000
3.777	0.000
3.827	0.000
3.877	0.000
3.927	0.000
3.977	0.000
4.027	0.000
4.077	0.000
4.127	0.000
4.178	0.000
4.227	0.000
4.277	0.000
4.327	0.000
4.377	0.000
4.427	0.000
4.478	0.000
4.527	0.000
4.577	0.000
4.627	0.000
4.677	0.000
4.727	0.000
4.777	0.000
4.828	0.000
4.877	0.000
4.927	0.000
4.977	0.000
5.027	0.000
5.077	0.000
5.127	0.000
5.177	0.000
5.227	0.000
5.278	0.000
5.327	0.000
5.378	0.000
5.427	0.000
5.478	0.000
5.527	0.000
5.577	0.000
5.627	0.000
5.677	0.000
5.727	0.000
5.777	0.000
5.828	0.000
5.877	0.000
5.927	0.000
5.977	0.000
